AGYSUB,SEP,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,STEMOCC,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
DLLS,SA,202005,E,04,05,B,48,0119,3,GS-05,D,XXXX,15,P,2,1,045714,01.7
DLLS,SC,202108,F,04,05,D,53,0119,3,GS-05,C,XXXX,10,P,2,1,039920,06.6
DLLS,SF,202301,D,13,12,D,31,0110,1,GS-12,I,0110,10,F,1,1,091911,07.5
DLLS,SC,202309,E,04,13,D,06,0110,1,GS-13,L,0110,10,F,1,1,125448,08.6
DLLS,SA,201910,C,17,11,C,11,0110,1,GS-11,G,0110,10,F,1,1,076541,04.7
DLLS,SA,202006,E,13,07,C,25,0110,1,GS-07,E,0110,10,F,1,1,059393,04.0
DLLS,SA,202209,D,13,13,D,41,0110,1,GS-13,J,0110,10,F,1,1,103810,07.5
DLLS,SC,202202,F,10,06,D,06,0119,3,GS-06,D,XXXX,10,P,2,1,049381,06.8
DLLS,SC,202107,E,04,12,D,29,0110,1,GS-12,H,0110,10,F,1,1,086106,06.3
DLLS,SC,202010,C,13,12,D,11,0110,1,GS-12,H,0110,10,F,1,1,086335,05.3
DLLS,SA,202110,C,13,13,D,11,0110,1,GS-13,K,0110,10,F,1,1,110603,06.3
DLLS,SC,202203,E,17,12,D,17,0110,1,GS-12,I,0110,10,F,1,1,091170,06.8
DLLS,SD,202112,K,04,07,E,48,0119,3,GS-07,D,XXXX,10,P,2,1,048052,10.4
DLLS,SA,202002,C,13,12,C,11,0110,1,GS-12,H,0110,10,F,1,1,089213,04.6
DLLS,SC,202209,I,13,05,A,25,0119,3,GS-05,D,XXXX,10,P,2,1,047175,00.1
DLLS,SA,202108,C,13,12,D,29,0110,1,GS-12,H,0110,10,F,1,1,080886,05.2
DLLS,SC,201911,D,13,05,B,36,0119,3,GS-05,C,XXXX,15,P,2,1,039053,01.2
DLLS,SA,201910,G,13,07,E,53,0119,3,GS-07,E,XXXX,10,P,2,1,054989,13.3
DLLS,SC,202203,D,17,11,B,11,0110,1,GS-11,G,0110,15,F,1,1,074950,01.1
DLLS,SC,201910,C,13,12,C,11,0110,1,GS-12,H,0110,10,F,1,1,086179,04.1
DLLS,SA,202107,C,13,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,093013,05.8
DLLS,SC,202108,C,13,12,D,25,0110,1,GS-12,I,0110,10,F,1,1,092036,05.8
DLLS,SA,202306,E,04,12,D,29,0110,1,GS-12,I,0110,10,F,1,1,092427,07.7
DLLS,SC,202111,F,04,12,D,06,0110,1,GS-12,J,0110,10,F,1,1,100826,06.0
DLLS,SC,202110,D,13,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,095920,05.9
DLLS,SA,202203,D,17,09,D,48,0110,1,GS-09,G,0110,10,F,1,1,076950,08.3
DLLS,SC,202010,F,13,07,D,13,0119,3,GS-07,D,XXXX,10,P,2,1,046133,05.0
DLLS,SC,202010,I,17,07,D,13,0119,3,GS-07,D,XXXX,10,P,2,1,046133,05.3
DLLS,SA,202209,C,13,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,098818,06.8
DLLS,SA,202007,C,13,12,C,06,0110,1,GS-12,I,0110,10,F,1,1,090533,04.7
DLLS,SD,202203,K,13,06,D,25,0119,3,GS-06,E,XXXX,10,P,2,1,051085,06.2
DLLS,SC,202206,C,13,13,D,25,0110,1,GS-13,J,0110,10,F,1,1,109175,06.3
DLLS,SC,202010,J,13,06,C,45,0119,3,GS-06,D,XXXX,10,P,2,1,040218,04.7
DLLS,SA,202307,E,17,12,D,29,0110,1,GS-12,I,0110,10,F,1,1,092427,07.3
DLLS,SC,202111,D,04,06,C,47,0119,3,GS-06,D,XXXX,15,P,2,1,040621,04.3
DLLS,SA,201912,C,04,12,C,51,0110,1,GS-12,G,0110,10,F,1,1,076988,03.7
DLLS,SC,202307,D,13,12,D,11,0110,1,GS-12,J,0110,10,F,1,1,103619,07.2
DLLS,SC,202007,C,04,11,C,29,0110,1,GS-11,F,0110,10,F,1,1,069277,04.2
DLLS,SA,202111,D,17,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,095920,05.5
