AGYSUB,SEP,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,STEMOCC,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
DLLS,SC,202207,G,13,06,B,45,0119,3,GS-06,D,XXXX,15,P,2,1,040262,01.8
DLLS,SC,202202,C,13,05,B,47,0119,3,GS-05,C,XXXX,15,P,2,1,037322,01.3
DLLS,SC,202201,I,13,05,B,13,0119,3,GS-05,C,XXXX,15,P,2,1,039388,01.5
DLLS,SC,202303,I,04,06,B,11,0119,3,GS-06,D,XXXX,15,P,2,1,047789,02.4
DLLS,SC,202010,H,04,05,A,48,0119,3,GS-05,C,XXXX,15,P,2,1,035163,00.1
DLLS,SC,202108,J,04,05,A,34,0119,3,GS-05,D,XXXX,15,P,2,1,040749,00.8
DLLS,SC,202107,K,04,05,A,21,0119,3,GS-05,C,XXXX,15,P,2,1,036664,00.8
DLLS,SC,202303,K,04,05,B,34,0119,3,GS-05,D,XXXX,15,P,2,1,046996,02.4
DLLS,SC,202106,C,13,07,A,11,0110,1,GS-07,D,0110,15,F,1,1,049157,00.7
DLLS,SC,202209,E,04,05,B,06,0119,3,GS-05,E,XXXX,15,P,2,1,057677,01.8
DLLS,SC,202106,D,13,07,A,41,0110,1,GS-07,D,0110,15,F,1,1,046618,00.7
DLLS,SC,202011,B,13,07,A,11,0110,1,GS-07,D,0110,15,F,1,1,048670,00.1
DLLS,SC,202010,H,04,05,A,49,0119,3,GS-05,C,XXXX,15,P,2,1,034916,00.0
DLLS,SC,202201,C,13,09,B,11,0110,1,GS-09,F,0110,15,F,1,1,061947,01.2
DLLS,SA,202309,D,17,11,B,51,0110,1,GS-11,G,0110,15,F,1,1,078592,01.4
DLLS,SC,202105,B,13,07,A,29,0110,1,GS-07,D,0110,15,F,1,1,044323,00.4
