AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3W,48,I,17,13,I,0110,1,GS-13,G,XXXX,8,10,F,1,200009,1,"$75,520",30.0
AF3W,51,I,04,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200009,1,"$79,155",7.8
AG02,11,D,17,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200009,1,"$51,204",2.6
AG02,11,H,17,15,H,0110,1,GM-15,J,XXXX,2,10,F,1,200009,1,"$101,572",25.5
AG02,11,K,17,12,J,0110,1,GS-12,F,XXXX,8,10,F,1,200009,1,"$66,564",38.3
AG02,11,K,21,12,G,0110,1,GS-12,F,XXXX,8,10,F,1,200009,1,"$61,444",24.4
AG02,11,I,17,15,H,0110,1,GS-15,J,XXXX,2,10,F,1,200009,1,"$101,565",26.7
AG02,11,E,13,12,E,0110,1,GS-12,E,XXXX,8,10,F,1,200009,1,"$56,324",12.9
AG02,11,B,13,07,A,0110,1,GS-07,B,XXXX,8,15,F,1,200009,1,"$28,866",0.3
AG02,11,F,13,13,G,0110,1,GM-13,G,XXXX,5,10,F,1,200009,1,"$74,086",21.4
AG02,11,H,18,13,H,0110,1,GM-13,G,XXXX,5,10,F,1,200009,1,"$79,155",29.6
AG02,11,G,21,12,A,0110,1,GS-12,E,XXXX,8,15,F,1,200009,1,"$51,204",0.9
AG02,11,G,13,13,G,0110,1,GS-13,G,XXXX,8,10,F,1,200009,1,"$73,067",21.3
AG02,11,F,17,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200009,1,"$54,618",2.6
AG02,11,G,17,14,G,0110,1,GS-14,H,XXXX,8,10,F,1,200009,1,"$81,546",21.3
AG02,11,H,21,14,F,0110,1,GS-14,H,XXXX,2,10,F,1,200009,1,"$81,546",17.3
AG02,13,E,21,,A,0110,1,MA-18,E,XXXX,8,30,F,1,200009,1,"$50,631",0.2
AG02,11,D,17,11,B,0110,1,GS-11,D,XXXX,8,15,F,1,200009,1,"$42,724",2.7
AG02,11,C,17,11,C,0110,1,GS-11,D,XXXX,8,15,F,1,200009,1,"$42,724",3.7
AG02,39,E,13,,E,0110,1,MA-18,E,XXXX,8,30,F,1,200009,1,"$52,254",13.3
AG02,11,C,13,11,B,0110,1,GS-11,D,XXXX,8,15,F,1,200009,1,"$42,724",1.8
AG02,17,H,17,,F,0110,1,MA-20,F,XXXX,2,30,F,1,200009,1,"$67,430",15.3
AG02,11,H,17,15,G,0110,1,GS-15,J,XXXX,2,10,F,1,200009,1,"$101,565",24.3
AG02,13,C,17,,A,0110,1,MA-14,C,XXXX,8,30,F,1,200009,1,"$35,808",0.2
AG02,27,E,13,,E,0110,1,MA-17,E,XXXX,8,30,F,1,200009,1,"$51,832",13.8
AG02,11,F,14,12,E,0110,1,GS-12,E,XXXX,8,10,F,1,200009,1,"$56,324",14.3
AG02,11,F,21,12,A,0110,1,GS-12,E,XXXX,8,15,F,1,200009,1,"$51,204",0.8
AG02,11,F,17,12,F,0110,1,GS-12,E,XXXX,8,10,F,1,200009,1,"$51,204",17.4
AG02,27,F,13,,F,0110,1,MA-18,E,XXXX,2,30,F,1,200009,1,"$57,123",19.3
AG02,27,F,13,,E,0110,1,MA-16,D,XXXX,8,30,F,1,200009,1,"$47,925",14.1
AG02,20,F,17,,G,0110,1,MA-20,F,XXXX,8,30,F,1,200009,1,"$63,564",20.1
AG02,53,E,17,,E,0110,1,MA-20,E,XXXX,8,30,F,1,200009,1,"$59,698",10.3
AG02,11,G,17,14,F,0110,1,GS-14,I,XXXX,8,10,F,1,200009,1,"$91,139",19.9
AG02,11,H,21,13,C,0110,1,GS-13,F,XXXX,8,10,F,1,200009,1,"$60,890",3.1
AG02,53,C,14,,C,0110,1,MA-14,C,XXXX,8,30,F,1,200009,1,"$37,045",3.3
AG02,11,E,05,12,D,0110,1,GS-12,E,XXXX,8,15,F,1,200009,1,"$51,204",6.3
AG02,11,H,13,12,F,0110,1,GS-12,F,XXXX,8,10,F,1,200009,1,"$61,444",15.8
AG03,11,E,04,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200009,1,"$66,979",10.8
AG03,24,K,21,15,H,0110,1,GS-15,J,XXXX,8,10,F,1,200009,1,"$101,565",26.5
AG03,30,G,,11,B,0110,1,GS-11,D,XXXX,8,20,F,2,200009,1,"$43,229",1.7
AG03,24,I,17,13,I,0110,1,GM-13,G,XXXX,4,10,F,1,200009,1,"$79,155",31.3
AG07,51,I,17,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200009,1,"$69,008",13.5
AG07,51,D,04,11,E,0110,1,GS-11,D,XXXX,8,10,F,1,200009,1,"$44,148",11.9
AG07,39,F,21,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200009,1,"$70,712",8.3
AG07,17,G,17,12,E,0110,1,GS-12,F,XXXX,8,10,F,1,200009,1,"$60,165",11.2
AG07,55,E,17,12,D,0110,1,GS-12,E,XXXX,8,15,F,1,200009,1,"$55,152",5.7
AG07,27,G,13,12,G,0110,1,GS-12,F,XXXX,8,10,F,1,200009,1,"$64,893",23.9
AG08,29,G,13,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200009,1,"$61,979",10.5
AG08,29,G,17,13,F,0110,1,GS-13,F,XXXX,8,10,F,1,200009,1,"$67,976",19.6
AG08,29,H,17,13,F,0110,1,GS-13,F,XXXX,8,10,F,1,200009,1,"$63,978",15.4
AG08,29,E,17,13,E,0110,1,GS-13,F,XXXX,8,15,F,1,200009,1,"$63,978",13.9
AG08,29,E,11,09,B,0110,1,GS-09,C,XXXX,8,15,F,1,200009,1,"$34,783",2.3
AG08,29,G,17,14,G,0110,1,GS-14,H,XXXX,8,15,F,1,200009,1,"$80,328",22.5
AG08,29,F,17,13,F,0110,1,GS-13,F,XXXX,8,10,F,1,200009,1,"$65,977",15.8
