AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF13,51,D,21,13,C,0110,1,99,GS-13,I,0110,5,20,F,2,201809,1,096970,03.2
AF3Q,51,F,13,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,126062,18.0
AF3Q,51,E,13,13,E,0110,1,99,GS-13,J,0110,8,15,F,1,201809,1,100203,13.1
AF3Q,51,B,13,07,A,0110,1,99,GS-07,D,0110,8,35,F,1,201809,1,045972,00.2
AG01,11,I,22,,I,0110,1,ES,ES-**,R,0110,2,50,F,1,201809,1,189600,31.3
AG02,11,J,17,13,G,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,116365,20.6
AG02,47,G,21,14,E,0110,1,99,GS-14,L,0110,8,10,F,1,201809,1,123727,10.2
AG02,11,J,21,14,F,0110,1,99,GS-14,N,0110,5,10,F,1,201809,1,141328,18.8
AG02,11,I,13,13,I,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,126062,30.9
AG02,11,I,21,14,F,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,17.4
AG02,08,J,21,13,E,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,120195,14.4
AG02,11,J,13,12,F,0110,1,99,GS-12,J,0110,8,10,F,1,201809,1,100576,17.8
AG02,11,K,17,14,F,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,18.8
AG02,11,J,21,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,122830,18.8
AG02,11,I,17,13,I,0110,1,99,GS-13,L,0110,8,10,P,2,201809,1,126062,33.5
AG02,11,J,17,15,G,0110,1,99,GS-15,P,0110,2,10,F,1,201809,1,164200,22.6
AG02,11,J,13,13,J,0110,1,99,GM-13,L,0110,5,10,F,1,201809,1,126062,39.4
AG02,11,K,21,14,H,0110,1,99,GS-14,N,0110,5,10,F,1,201809,1,148967,25.6
AG02,11,I,17,13,E,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,116365,14.8
AG02,11,F,17,13,E,0110,1,99,GS-13,K,0110,5,10,F,1,201809,1,116365,12.2
AG02,37,F,13,13,F,0110,1,99,GS-13,J,0110,8,10,P,2,201809,1,108469,18.3
AG02,11,F,13,14,F,0110,1,99,GS-14,N,0110,5,10,F,1,201809,1,141328,16.4
AG02,08,F,17,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,120195,19.6
AG02,19,H,18,12,G,0110,1,99,GS-12,I,0110,8,10,F,1,201809,1,095388,20.0
AG02,19,J,21,13,F,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,110520,18.6
AG02,11,I,14,12,I,0110,1,99,GS-12,J,0110,8,10,F,1,201809,1,106012,32.3
AG02,11,D,13,13,D,0110,1,99,GS-13,J,0110,5,10,F,1,201809,1,100203,07.3
AG02,39,D,17,13,D,0110,1,99,GS-13,I,0110,8,10,P,2,201809,1,092302,08.6
AG02,11,E,17,12,D,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,086984,08.6
AG02,11,H,21,15,D,0110,1,99,GS-15,P,0110,2,10,F,1,201809,1,161746,06.3
AG02,11,D,17,13,C,0110,1,99,GS-13,J,0110,8,10,F,1,201809,1,100203,04.3
AG02,08,D,21,12,C,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,087779,03.3
AG02,11,C,17,12,C,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,086984,03.2
AG02,11,G,21,12,B,0110,1,99,GS-12,I,0110,8,15,F,1,201809,1,095139,02.8
AG02,11,D,21,12,B,0110,1,99,GS-12,H,0110,8,15,F,1,201809,1,084266,01.6
AG02,11,C,04,13,D,0110,1,99,GS-13,I,0110,8,15,F,1,201809,1,096970,08.0
AG07,11,K,21,,J,0110,1,SL,SL-00,R,0110,2,10,F,1,201809,1,189600,37.7
AG08,29,G,17,13,F,0110,1,99,GS-13,J,0110,8,10,F,1,201809,1,108292,16.0
AG08,29,E,13,13,E,0110,1,99,GS-13,J,0110,8,10,F,1,201809,1,102439,12.4
AG08,29,J,17,14,H,0110,1,99,GS-14,M,0110,8,10,F,1,201809,1,134886,28.5
AG08,29,I,13,13,I,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,114146,31.6
AG08,29,E,13,13,F,0110,1,99,GS-13,J,0110,8,10,F,1,201809,1,105365,15.3
AG08,11,K,21,14,H,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,29.5
AG08,29,H,11,13,G,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,111219,20.3
AG08,29,D,17,13,D,0110,1,99,GS-13,I,0110,8,10,F,1,201809,1,090731,08.6
AG08,29,E,08,13,D,0110,1,99,GS-13,I,0110,8,10,F,1,201809,1,090731,05.9
AG08,29,D,13,13,C,0110,1,99,GS-13,I,0110,8,10,F,1,201809,1,090731,04.8
AG08,29,I,13,13,C,0110,1,99,GS-13,I,0110,8,10,F,1,201809,1,096585,04.0
AG08,29,D,17,13,C,0110,1,99,GS-13,I,0110,8,10,F,1,201809,1,093658,03.3
AG08,29,I,17,13,B,0110,1,99,GS-13,I,0110,8,15,F,1,201809,1,093658,01.9
AG08,29,C,13,13,B,0110,1,99,GS-13,H,0110,8,15,F,1,201809,1,087804,01.9
AG08,29,F,21,12,B,0110,1,99,GS-12,G,0110,8,15,F,1,201809,1,073840,01.7
AG08,29,E,17,11,A,0110,1,99,GS-11,F,0110,8,15,F,1,201809,1,061605,00.3
AG10,11,F,17,14,D,0110,1,99,GS-14,L,0110,8,42,F,2,201809,1,122230,07.4
AG10,11,F,17,13,E,0110,1,99,GS-13,J,0110,8,10,F,1,201809,1,109900,10.0
AG10,11,H,17,13,G,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,119597,21.0
AG10,11,G,13,14,G,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,145148,23.9
AG10,11,E,22,14,C,0110,1,99,GS-14,L,0110,8,42,F,2,201809,1,126049,03.0
AG10,11,K,17,13,J,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,126062,37.8
AG10,11,E,13,13,F,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,116365,17.3
AG10,11,I,17,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,126062,20.3
AG10,11,F,13,14,F,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,16.7
AG10,11,I,21,15,F,0110,1,99,GS-15,O,0110,5,10,F,1,201809,1,152760,18.7
AG10,11,J,17,14,I,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,33.8
AG10,11,I,13,14,F,0110,1,99,GS-14,M,0110,8,10,F,1,201809,1,137508,19.8
AG10,11,G,13,13,F,0110,1,99,GS-13,K,0110,8,10,P,2,201809,1,113132,15.8
AG10,41,F,17,14,F,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,142357,16.3
AG10,11,C,07,12,D,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,089703,08.0
AG10,11,H,17,14,E,0110,1,99,GS-14,M,0110,8,42,F,2,201809,1,137508,12.7
AG10,11,E,13,12,C,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,089703,03.1
AG10,11,K,17,13,H,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,126062,26.8
AG10,11,I,17,13,H,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,126062,29.3
AG10,11,J,17,14,I,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,30.3
AG10,11,H,13,14,H,0110,1,99,GS-14,N,0110,8,10,S,2,201809,1,148967,29.0
AG10,11,H,17,13,H,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,122830,25.2
AG10,11,D,13,14,E,0110,1,99,GS-14,K,0110,8,10,F,1,201809,1,118410,10.2
AG10,11,J,17,14,H,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,28.4
AG10,48,D,04,12,E,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,088947,12.8
AG10,11,I,18,14,H,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,29.7
AG10,11,J,17,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,122830,24.0
AG10,11,G,17,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,201809,1,126062,15.7
AG10,11,G,17,14,G,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,20.6
AG10,11,J,17,14,H,0110,1,99,GS-14,N,0110,8,10,F,1,201809,1,148967,29.9
AG10,11,G,13,13,F,0110,1,99,GS-13,K,0110,8,10,F,1,201809,1,119597,17.2
AG10,11,F,17,12,C,0110,1,99,GS-12,H,0110,8,15,F,1,201809,1,084266,03.6
AG10,11,D,15,13,C,0110,1,99,GS-13,L,0110,8,15,F,1,201809,1,122830,04.8
AG10,11,D,17,14,D,0110,1,99,GS-14,K,0110,8,10,F,1,201809,1,118410,09.0
AG10,11,D,15,13,B,0110,1,99,GS-13,J,0110,8,10,F,1,201809,1,106668,02.0
AG10,11,D,17,13,D,0110,1,99,GS-13,J,0110,8,10,F,1,201809,1,100203,06.8
AG10,11,I,22,14,D,0110,1,99,GS-14,L,0110,8,42,F,2,201809,1,129869,06.6
AG10,11,B,09,11,A,0110,1,99,GS-11,F,0110,8,15,F,1,201809,1,068036,00.0
AG10,11,I,17,15,D,0110,1,99,GS-15,P,0110,5,42,F,2,201809,1,161746,09.4
AG10,11,D,17,12,C,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,084266,03.7
AG10,11,E,04,12,C,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,086984,03.7
AG10,11,D,04,12,C,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,086984,03.6
AG10,11,B,08,05,B,0119,3,99,GS-05,C,XXXX,8,40,G,2,201809,1,037113,02.9
AG10,11,E,17,14,C,0110,1,99,GS-14,L,0110,8,42,F,2,201809,1,129869,04.7
AG10,11,C,17,12,C,0110,1,99,GS-12,H,0110,8,10,F,1,201809,1,081548,03.1
