AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF2R,51,J,17,,J,0110,1,NH-04,O,XXXX,5,10,F,1,201309,1,155500,36.3
AF3C,12,J,21,15,I,0110,1,GS-15,O,XXXX,8,10,F,1,201309,1,155240,33.3
AF3Q,51,E,13,13,E,0110,1,GS-13,K,XXXX,8,10,F,1,201309,1,116010,13.0
AF3Q,51,E,17,14,D,0110,1,GS-14,K,XXXX,8,10,F,1,201309,1,119238,09.4
AF3Q,51,D,17,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201309,1,109807,11.1
AF3Q,51,E,18,13,E,0110,1,GS-13,J,XXXX,2,10,F,1,201309,1,109807,11.1
AG02,11,I,21,14,F,0110,1,GS-14,L,XXXX,8,10,F,1,201309,1,129758,17.7
AG02,11,H,21,14,E,0110,1,GS-14,L,XXXX,8,10,F,1,201309,1,126251,12.3
AG02,47,F,21,14,D,0110,1,GS-14,J,XXXX,8,10,F,1,201309,1,109581,05.2
AG02,11,I,13,13,I,0110,1,GM-13,K,XXXX,5,10,F,1,201309,1,115742,34.4
AG02,11,K,21,13,F,0110,1,GS-13,J,XXXX,5,10,F,1,201309,1,109807,16.1
AG02,11,H,14,12,H,0110,1,GS-12,I,XXXX,8,10,F,1,201309,1,094837,27.3
AG02,11,J,21,14,G,0110,1,GS-14,M,XXXX,5,10,F,1,201309,1,133264,20.6
AG02,11,F,17,13,D,0110,1,GS-13,J,XXXX,8,10,F,1,201309,1,100904,06.5
AG02,11,H,17,14,E,0110,1,GS-14,K,XXXX,2,10,F,1,201309,1,119238,12.5
AG02,11,E,17,13,D,0110,1,GS-13,J,XXXX,5,10,F,1,201309,1,100904,07.2
AG02,11,I,17,15,F,0110,1,GS-15,O,XXXX,2,10,F,1,201309,1,155500,16.2
AG02,11,G,13,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201309,1,103872,12.3
AG02,11,D,17,12,C,0110,1,GS-12,G,XXXX,8,15,F,1,201309,1,074872,03.8
