AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3W,48,I,17,13,I,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$78,220",31.0
AF3W,51,I,04,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200109,1,"$82,180",8.8
AG02,11,D,17,12,C,0110,1,GS-12,E,XXXX,8,10,F,1,200109,1,"$54,928",3.6
AG02,11,H,17,15,H,0110,1,GM-15,J,XXXX,2,10,F,1,200109,1,"$108,375",26.5
AG02,36,D,14,,D,0110,1,MA-16,D,XXXX,8,30,F,1,200109,1,"$43,235",8.3
AG02,11,K,21,12,H,0110,1,GS-12,F,XXXX,8,10,F,1,200109,1,"$65,556",25.4
AG02,11,I,17,15,H,0110,1,GS-15,J,XXXX,2,10,F,1,200109,1,"$105,437",27.7
AG02,11,F,13,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$65,319",13.9
AG02,11,B,13,09,B,0110,1,GS-09,C,XXXX,8,15,F,1,200109,1,"$36,656",1.3
AG02,11,C,13,12,D,0110,1,GS-12,E,XXXX,8,10,F,1,200109,1,"$56,699",8.3
AG02,11,G,13,13,G,0110,1,GM-13,G,XXXX,5,10,F,1,200109,1,"$76,916",22.4
AG02,11,C,13,09,B,0110,1,GS-09,C,XXXX,8,15,F,1,200109,1,"$36,656",1.3
AG02,11,G,21,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200109,1,"$54,928",1.9
AG02,11,G,13,13,G,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$77,965",22.3
AG02,11,F,17,12,C,0110,1,GS-12,E,XXXX,8,10,F,1,200109,1,"$58,470",3.6
AG02,11,H,21,14,D,0110,1,GS-14,G,XXXX,8,15,F,1,200109,1,"$74,697",8.6
AG02,11,G,17,14,G,0110,1,GS-14,H,XXXX,8,10,F,1,200109,1,"$87,148",22.3
AG02,11,H,21,14,F,0110,1,GS-14,H,XXXX,2,10,F,1,200109,1,"$84,658",18.3
AG02,13,E,21,,B,0110,1,MA-18,E,XXXX,8,30,F,1,200109,1,"$53,665",1.2
AG02,11,E,17,12,C,0110,1,GS-12,E,XXXX,8,15,F,1,200109,1,"$53,156",3.7
AG02,11,C,17,12,C,0110,1,GS-12,E,XXXX,8,15,F,1,200109,1,"$53,156",4.7
AG02,39,E,13,,E,0110,1,MA-18,E,XXXX,8,30,F,1,200109,1,"$53,665",14.3
AG02,11,F,17,13,D,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$69,534",9.3
AG02,11,C,13,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200109,1,"$53,156",2.8
AG02,17,H,17,,F,0110,1,MA-20,F,XXXX,2,30,F,1,200109,1,"$69,250",16.3
AG02,11,H,17,15,H,0110,1,GS-15,J,XXXX,2,10,F,1,200109,1,"$105,437",25.3
AG02,13,C,17,,B,0110,1,MA-15,D,XXXX,8,30,F,1,200109,1,"$40,260",1.2
AG02,27,F,13,,E,0110,1,MA-17,E,XXXX,8,30,F,1,200109,1,"$54,801",14.8
AG02,11,F,14,11,F,0110,1,GS-11,E,XXXX,8,10,F,1,200109,1,"$57,656",15.3
AG02,11,F,21,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200109,1,"$54,928",1.8
AG02,11,E,17,09,A,0110,1,GS-09,C,XXXX,8,15,F,1,200109,1,"$36,656",0.5
AG02,11,F,17,12,F,0110,1,GS-12,E,XXXX,8,10,F,1,200109,1,"$54,928",18.4
AG02,27,H,17,,A,0110,1,MA-16,D,XXXX,8,30,F,1,200109,1,"$47,723",0.8
AG02,27,F,13,,G,0110,1,MA-18,E,XXXX,2,30,F,1,200109,1,"$58,666",20.3
AG02,27,F,13,,F,0110,1,MA-16,E,XXXX,8,30,F,1,200109,1,"$50,715",15.1
AG02,20,F,17,,G,0110,1,MA-20,F,XXXX,8,30,F,1,200109,1,"$65,280",21.1
AG02,53,F,17,,E,0110,1,MA-20,F,XXXX,8,30,F,1,200109,1,"$63,295",11.3
AG02,11,I,21,13,C,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$65,319",4.1
AG02,53,C,14,,C,0110,1,MA-14,D,XXXX,8,30,F,1,200109,1,"$40,586",4.3
AG02,11,H,13,12,F,0110,1,GS-12,F,XXXX,8,10,F,1,200109,1,"$63,785",16.8
AG03,11,E,04,14,E,0110,1,GS-14,G,XXXX,8,10,F,1,200109,1,"$74,697",11.8
AG03,23,G,,09,A,0110,1,GS-09,C,XXXX,8,42,F,2,200109,1,"$35,808",0.8
AG03,24,K,21,15,H,0110,1,GS-15,J,XXXX,8,10,F,1,200109,1,"$105,437",27.5
AG03,30,H,,11,B,0110,1,GS-11,D,XXXX,8,20,F,2,200109,1,"$46,214",2.7
AG07,51,J,17,13,E,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$73,749",14.5
AG07,51,D,04,11,E,0110,1,GS-11,D,XXXX,8,10,F,1,200109,1,"$47,309",12.9
AG07,17,G,17,12,E,0110,1,GS-12,F,XXXX,8,10,F,1,200109,1,"$64,039",12.2
AG07,55,E,17,12,D,0110,1,GS-12,E,XXXX,8,10,F,1,200109,1,"$57,118",6.7
AG07,27,G,13,13,G,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$73,796",24.9
AG08,29,G,13,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$66,258",11.5
AG08,29,G,17,13,G,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$72,471",20.6
AG08,29,H,17,13,F,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$68,329",16.4
AG08,29,F,17,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$68,329",14.9
AG08,29,E,11,11,C,0110,1,GS-11,D,XXXX,8,15,F,1,200109,1,"$43,584",3.3
AG08,29,H,17,14,G,0110,1,GS-14,H,XXXX,8,10,F,1,200109,1,"$85,638",23.5
AG08,29,F,17,13,F,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$68,329",16.8
AG08,11,G,21,14,E,0110,1,GS-14,H,XXXX,8,10,F,1,200109,1,"$82,168",12.5
AG08,29,E,13,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$68,329",14.6
AG08,11,H,21,13,B,0110,1,GS-13,F,XXXX,8,15,F,1,200109,1,"$69,534",1.3
AG10,11,G,13,14,G,0110,1,GS-14,H,XXXX,2,10,F,1,200109,1,"$89,638",23.5
AG10,11,G,17,13,F,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$73,749",18.5
AG10,11,F,14,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$71,642",9.2
AG10,11,H,17,14,E,0110,1,GS-14,H,XXXX,2,10,F,1,200109,1,"$89,638",13.8
AG10,11,H,17,13,D,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$69,534",9.8
AG10,11,C,13,09,B,0110,1,GS-09,C,XXXX,8,15,F,1,200109,1,"$37,877",1.9
AG10,11,C,17,09,B,0110,1,GS-09,C,XXXX,8,15,F,1,200109,1,"$36,656",2.9
AG10,11,G,17,14,G,0110,1,GS-14,I,XXXX,2,10,F,1,200109,1,"$92,128",22.9
AG10,11,F,13,13,D,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$69,534",6.3
AG10,11,D,13,12,C,0110,1,GS-12,E,XXXX,8,10,F,1,200109,1,"$53,156",3.5
AG10,11,F,17,13,E,0110,1,GS-13,G,XXXX,8,10,F,1,200109,1,"$75,857",13.3
AG10,11,C,14,09,B,0110,1,GS-09,C,XXXX,8,15,F,1,200109,1,"$36,656",1.3
AG10,11,C,17,13,D,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$63,211",5.1
AG10,11,F,,14,A,0110,1,GS-14,G,XXXX,8,42,F,2,200109,1,"$74,697",0.9
AG10,11,C,17,11,B,0110,1,GS-11,D,XXXX,8,15,F,1,200109,1,"$44,352",1.1
AG10,11,J,21,12,D,0110,1,GS-12,F,XXXX,8,10,F,1,200109,1,"$62,013",9.0
AG10,11,I,17,14,J,0110,1,GM-14,I,XXXX,2,10,F,1,200109,1,"$97,108",35.4
AG10,11,I,17,15,J,0110,1,GS-15,J,XXXX,2,10,F,1,200109,1,"$102,508",37.2
AG10,11,H,22,13,F,0110,1,GS-13,H,XXXX,8,10,F,1,200109,1,"$82,180",18.8
AG10,11,E,17,09,E,0110,1,GS-09,D,XXXX,8,10,F,1,200109,1,"$47,648",14.3
AG10,11,D,13,13,E,0110,1,GS-13,F,XXXX,8,10,F,1,200109,1,"$65,319",10.4
AG10,11,B,,05,B,0119,3,GS-05,B,XXXX,8,42,F,2,200109,1,"$24,192",1.3
AG10,11,G,14,15,G,0110,1,GS-15,J,XXXX,8,10,F,1,200109,1,"$102,508",21.3
