AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF1M,25,D,17,,A,0110,1,YA-02,H,XXXX,8,10,F,1,200709,1,"$86,488",0.7
AF3C,12,I,21,,H,0110,1,YA-03,M,XXXX,8,10,F,1,200709,1,"$138,525",27.3
AG02,11,F,17,12,D,0110,1,GS-12,G,XXXX,8,10,F,1,200709,1,"$75,671",9.7
AG02,11,J,17,15,I,0110,1,GS-15,M,XXXX,2,10,F,1,200709,1,"$139,793",33.7
AG02,11,G,13,13,F,0110,1,GS-13,I,XXXX,8,10,F,1,200709,1,"$92,632",19.9
AG02,11,G,17,15,F,0110,1,GS-15,L,XXXX,2,10,F,1,200709,1,"$128,757",15.3
AG02,11,D,17,11,A,0110,1,GS-11,F,XXXX,8,15,F,1,200709,1,"$63,135",0.5
AG02,11,H,17,13,H,0110,1,GS-13,J,XXXX,8,10,F,1,200709,1,"$103,220",25.7
AG02,11,H,13,13,H,0110,1,GM-13,J,XXXX,5,10,F,1,200709,1,"$101,908",28.4
AG02,37,D,13,12,D,0110,1,GS-12,G,XXXX,8,10,F,1,200709,1,"$71,953",7.3
AG02,11,H,13,13,H,0110,1,GS-13,J,XXXX,8,10,F,1,200709,1,"$103,220",28.3
AG02,11,H,17,12,D,0110,1,GS-12,H,XXXX,8,10,F,1,200709,1,"$80,123",9.6
AG02,11,F,13,13,D,0110,1,GS-13,H,XXXX,8,15,F,1,200709,1,"$84,691",6.3
AG02,11,I,21,14,E,0110,1,GS-14,K,XXXX,8,10,F,1,200709,1,"$112,586",14.6
AG02,11,H,17,14,H,0110,1,GS-14,L,XXXX,8,10,F,1,200709,1,"$121,967",28.3
AG02,11,J,21,15,D,0110,1,GS-15,K,XXXX,2,10,F,1,200709,1,"$117,721",8.1
AG02,11,I,21,14,G,0110,1,GS-14,K,XXXX,2,10,F,1,200709,1,"$115,713",24.3
AG02,11,H,21,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200709,1,"$87,338",7.8
AG02,11,J,21,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,200709,1,"$92,632",10.1
AG02,11,G,17,14,D,0110,1,GS-14,I,XXXX,8,10,F,1,200709,1,"$93,822",6.5
AG02,11,G,21,14,D,0110,1,GS-14,J,XXXX,8,10,F,1,200709,1,"$106,331",6.4
AG02,11,G,17,15,E,0110,1,GS-15,N,XXXX,2,15,F,1,200709,1,"$143,471",11.7
AG02,11,C,07,12,B,0110,1,GS-12,F,XXXX,8,15,F,1,200709,1,"$66,767",2.0
AG02,11,I,17,14,I,0110,1,GS-14,L,XXXX,8,10,F,1,200709,1,"$121,967",30.3
AG02,11,C,17,12,D,0110,1,GS-12,F,XXXX,8,10,F,1,200709,1,"$66,767",7.0
AG02,11,G,14,12,G,0110,1,GS-12,H,XXXX,8,10,F,1,200709,1,"$80,123",21.3
AG03,01,D,21,12,C,0110,1,GS-12,G,XXXX,8,10,F,1,200709,1,"$73,989",3.3
AG03,11,F,04,14,F,0110,1,GS-14,J,XXXX,8,10,F,1,200709,1,"$109,459",17.8
AG07,55,F,17,12,E,0110,1,GS-12,G,XXXX,8,10,F,1,200709,1,"$78,217",12.4
AG08,29,H,13,13,F,0110,1,GS-13,H,XXXX,8,10,F,1,200709,1,"$87,984",17.5
AG08,29,I,17,13,G,0110,1,GS-13,I,XXXX,8,10,F,1,200709,1,"$90,498",22.4
AG08,29,G,17,14,G,0110,1,GS-14,J,XXXX,8,10,F,1,200709,1,"$100,996",20.9
AG08,29,C,13,13,C,0110,1,GS-13,G,XXXX,8,10,F,1,200709,1,"$75,414",4.3
AG08,11,D,11,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200709,1,"$89,985",9.9
