AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF0B,08,F,13,09,D,0110,1,99,GS-09,06,0110,8,15,F,1,202409,1,061460,07.5
AG01,11,F,17,15,E,0110,1,99,GS-15,19,0110,5,10,F,1,202409,1,191289,14.8
AG02,08,I,21,14,G,0110,1,99,GS-14,17,0110,2,10,F,1,202409,1,176620,22.9
AG02,51,K,21,14,G,0110,1,99,GS-14,18,0110,5,10,F,1,202409,1,181216,24.8
AG02,37,H,17,13,G,0110,1,99,GS-13,13,0110,8,10,F,1,202409,1,133087,23.3
AG02,13,I,21,13,G,0110,1,99,GS-13,14,0110,8,15,F,1,202409,1,142065,24.9
AG02,11,K,21,13,G,0110,1,99,GS-13,15,0110,8,10,F,1,202409,1,153354,24.8
AG02,11,K,17,13,J,0110,1,99,GS-13,15,0110,8,10,P,2,202409,1,153354,39.5
AG02,11,K,21,14,I,0110,1,99,GS-14,18,0110,5,10,F,1,202409,1,181216,31.6
AG02,11,G,17,15,G,0110,1,99,GS-15,18,0110,2,10,F,1,202409,1,180359,22.7
AG02,11,G,17,14,F,0110,1,99,GS-14,16,0110,5,10,F,1,202409,1,162629,18.2
AG02,08,G,17,14,H,0110,1,99,GS-14,14,0110,7,10,F,1,202409,1,142566,25.6
AG02,11,F,17,15,E,0110,1,99,GS-15,18,0110,2,10,F,1,202409,1,180359,14.6
AG02,51,E,17,13,D,0110,1,99,GS-13,14,0110,8,10,F,1,202409,1,145489,09.2
AG02,11,E,17,13,B,0110,1,99,GS-13,11,0110,8,15,F,1,202409,1,117962,01.1
AG02,17,C,13,11,B,0110,1,99,GS-11,08,0110,8,15,F,1,202409,1,086393,02.0
AG02,51,G,21,13,C,0110,1,99,GS-13,12,0110,8,10,F,1,202409,1,129759,04.9
AG02,24,G,21,13,C,0110,1,99,GS-13,12,0110,8,10,F,1,202409,1,129759,03.9
