AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF13,51,J,17,,J,0110,1,NH-04,O,XXXX,5,10,F,1,201409,1,157100,37.3
AF3C,12,K,21,15,I,0110,1,GS-15,O,XXXX,8,10,F,1,201409,1,155978,34.3
AF3Q,51,E,18,13,E,0110,1,GS-13,K,XXXX,2,10,F,1,201409,1,113904,12.1
AF3Q,51,D,17,13,E,0110,1,GS-13,K,XXXX,8,10,F,1,201409,1,110906,12.1
AF3Q,51,F,17,14,E,0110,1,GS-14,L,XXXX,8,10,F,1,201409,1,123970,10.4
AF3Q,51,E,13,13,E,0110,1,GS-13,K,XXXX,8,10,F,1,201409,1,116901,14.0
AG02,11,D,17,12,C,0110,1,GS-12,G,XXXX,8,10,F,1,201409,1,078142,03.4
AG02,11,G,13,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201409,1,107909,13.3
AG02,11,I,21,14,E,0110,1,GS-14,L,XXXX,5,10,F,1,201409,1,127512,14.8
AG02,11,D,21,11,A,0110,1,GS-11,F,XXXX,8,35,F,1,201409,1,063091,00.2
AG02,11,I,13,13,J,0110,1,GM-13,K,XXXX,5,10,F,1,201409,1,116901,35.4
AG02,11,I,13,12,E,0110,1,GS-12,I,XXXX,8,10,F,1,201409,1,090744,13.8
AG02,11,E,17,13,D,0110,1,GS-13,J,XXXX,5,10,F,1,201409,1,101914,08.2
AG02,45,J,17,14,J,0110,1,GS-14,L,XXXX,5,10,F,1,201409,1,126949,35.2
AG02,47,F,21,14,D,0110,1,GS-14,K,XXXX,8,10,F,1,201409,1,110676,06.2
AG02,11,H,14,12,H,0110,1,GS-12,I,XXXX,8,10,F,1,201409,1,098305,28.3
AG02,25,D,17,12,C,0110,1,GS-12,H,XXXX,8,10,F,1,201409,1,081039,04.6
AG02,51,K,21,13,F,0110,1,GS-13,K,XXXX,5,10,P,2,201409,1,110906,17.1
AG02,11,H,13,13,H,0110,1,GS-13,K,XXXX,8,10,F,1,201409,1,110906,26.8
AG02,11,I,17,13,F,0110,1,GS-13,J,XXXX,8,10,F,1,201409,1,101914,16.6
AG02,11,J,21,14,G,0110,1,GS-14,M,XXXX,5,10,F,1,201409,1,138136,21.6
AG02,11,I,21,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201409,1,107909,14.8
AG02,11,C,17,09,A,0110,1,GS-09,E,XXXX,8,15,F,1,201409,1,052146,00.3
AG02,11,I,21,14,F,0110,1,GS-14,M,XXXX,8,10,F,1,201409,1,131053,18.7
AG02,37,E,13,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,201409,1,096515,14.3
AG02,11,D,17,12,C,0110,1,GS-12,G,XXXX,8,10,F,1,201409,1,078142,04.8
AG02,11,I,17,15,F,0110,1,GS-15,O,XXXX,2,10,F,1,201409,1,157100,17.2
AG02,11,G,21,15,B,0110,1,GS-15,N,XXXX,2,15,F,1,201409,1,145827,02.3
AG02,11,H,21,14,E,0110,1,GS-14,M,XXXX,8,10,F,1,201409,1,131053,13.3
AG03,01,E,17,12,E,0110,1,GS-12,H,XXXX,8,10,F,1,201409,1,085711,12.1
AG07,55,G,17,12,F,0110,1,GS-12,I,XXXX,8,10,F,1,201409,1,090344,16.2
AG07,11,K,21,,I,0110,1,SL-00,Q,XXXX,2,10,F,1,201409,1,178772,33.7
AG08,11,J,21,14,H,0110,1,GS-14,M,XXXX,8,10,F,1,201409,1,138136,25.5
AG08,29,D,13,13,D,0110,1,GS-13,I,XXXX,8,10,F,1,201409,1,090906,08.4
AG08,29,D,13,09,A,0110,1,GS-09,D,XXXX,8,35,F,1,201409,1,047923,00.8
AG08,29,G,11,13,F,0110,1,GS-13,I,XXXX,8,10,F,1,201409,1,099170,16.3
AG08,29,I,17,14,G,0110,1,GS-14,L,XXXX,8,10,F,1,201409,1,123695,24.5
AG08,29,H,17,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,201409,1,096415,11.8
AG08,29,I,13,13,G,0110,1,GS-13,J,XXXX,8,10,F,1,201409,1,104679,24.5
AG08,29,H,13,13,H,0110,1,GS-13,J,XXXX,8,10,F,1,201409,1,104679,27.6
AG08,29,F,17,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,201409,1,099170,12.0
AG08,29,D,13,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,201409,1,096415,11.3
AG10,11,C,07,11,C,0110,1,GS-11,F,XXXX,8,15,F,1,201409,1,063091,04.0
