AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF2R,51,I,17,,I,0110,1,NH-04,O,XXXX,5,10,F,1,201109,1,"$155,500",34.3
AF3C,12,J,21,15,I,0110,1,GS-15,O,XXXX,8,10,F,1,201109,1,"$155,240",31.3
AG02,45,I,17,14,I,0110,1,GS-14,L,XXXX,5,10,F,1,201109,1,"$125,695",32.3
AG02,11,D,17,09,A,0110,1,GS-09,F,XXXX,8,10,F,1,201109,1,"$67,114",0.4
AG02,11,I,21,14,F,0110,1,GS-14,L,XXXX,8,10,F,1,201109,1,"$126,251",15.7
AG02,11,D,17,13,D,0110,1,GS-13,I,XXXX,5,10,F,1,201109,1,"$97,936",5.2
AG02,11,I,13,12,E,0110,1,GS-12,H,XXXX,8,10,F,1,201109,1,"$84,855",10.8
AG02,11,H,14,12,H,0110,1,GS-12,I,XXXX,8,10,F,1,201109,1,"$94,837",25.3
AG02,11,G,17,14,E,0110,1,GS-14,K,XXXX,2,10,F,1,201109,1,"$115,731",10.5
AG02,11,K,21,13,E,0110,1,GS-13,J,XXXX,5,10,F,1,201109,1,"$106,839",14.1
AG02,11,C,17,09,A,0110,1,GS-09,E,XXXX,8,15,F,1,201109,1,"$51,630",0.5
AG02,11,G,21,14,E,0110,1,GS-14,L,XXXX,8,10,F,1,201109,1,"$126,251",10.4
AG02,11,H,21,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201109,1,"$103,872",11.8
AG02,11,H,17,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,201109,1,"$97,936",13.6
AG02,11,J,21,14,F,0110,1,GS-14,M,XXXX,5,10,F,1,201109,1,"$133,264",18.6
AG02,11,G,13,13,D,0110,1,GS-13,J,XXXX,8,10,F,1,201109,1,"$100,904",9.3
AG02,11,I,17,13,H,0110,1,GS-13,K,XXXX,8,10,F,1,201109,1,"$115,742",29.7
AG02,51,C,17,11,B,0110,1,GS-11,E,XXXX,8,15,F,1,201109,1,"$57,408",1.6
AG02,47,F,21,14,C,0110,1,GS-14,J,XXXX,8,10,F,1,201109,1,"$106,358",3.2
AG02,11,J,21,15,E,0110,1,GS-15,N,XXXX,2,10,F,1,201109,1,"$140,259",12.1
AG02,11,H,13,13,G,0110,1,GS-13,J,XXXX,8,10,F,1,201109,1,"$106,839",23.8
AG02,11,E,17,13,C,0110,1,GS-13,I,XXXX,8,10,F,1,201109,1,"$94,969",4.5
AG02,37,D,13,13,E,0110,1,GS-13,H,XXXX,8,10,F,1,201109,1,"$89,938",11.3
AG02,11,I,13,13,I,0110,1,GM-13,K,XXXX,5,10,F,1,201109,1,"$115,742",32.4
