AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3C,12,J,21,,H,0110,1,YA-03,O,XXXX,8,10,F,1,200909,1,"$152,544",29.3
AG02,11,H,17,15,F,0110,1,GS-15,N,XXXX,2,10,F,1,200909,1,"$144,997",17.3
AG02,11,H,21,14,D,0110,1,GS-14,K,XXXX,8,10,F,1,200909,1,"$112,995",9.8
AG02,11,E,17,13,B,0110,1,GS-13,H,XXXX,8,15,F,1,200909,1,"$86,927",2.5
AG02,11,H,13,13,I,0110,1,GM-13,K,XXXX,5,10,F,1,200909,1,"$113,007",30.4
AG02,11,H,21,14,E,0110,1,GS-14,L,XXXX,8,10,F,1,200909,1,"$123,269",13.7
AG02,37,D,13,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200909,1,"$82,888",9.3
AG02,11,I,13,13,I,0110,1,GS-13,K,XXXX,8,10,F,1,200909,1,"$113,007",30.3
AG02,11,H,17,12,E,0110,1,GS-12,H,XXXX,8,10,F,1,200909,1,"$87,717",11.6
AG02,11,F,13,13,D,0110,1,GS-13,I,XXXX,8,10,F,1,200909,1,"$95,620",8.3
AG02,11,I,21,14,F,0110,1,GS-14,L,XXXX,8,10,F,1,200909,1,"$126,693",16.6
AG02,11,I,17,14,I,0110,1,GS-14,M,XXXX,8,10,F,1,200909,1,"$133,543",30.3
AG02,11,J,21,15,E,0110,1,GS-15,M,XXXX,2,10,F,1,200909,1,"$132,914",10.1
AG02,11,H,21,13,D,0110,1,GS-13,I,XXXX,8,10,F,1,200909,1,"$98,518",9.8
AG02,11,J,21,14,H,0110,1,GS-14,L,XXXX,2,10,F,1,200909,1,"$126,693",26.3
AG02,11,J,21,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,200909,1,"$104,314",12.1
AG02,JM,C,17,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200909,1,"$59,383",1.3
AG02,11,G,17,14,D,0110,1,GS-14,J,XXXX,8,10,F,1,200909,1,"$109,570",8.5
AG02,11,H,13,12,D,0110,1,GS-12,H,XXXX,8,10,F,1,200909,1,"$80,409",8.8
AG02,11,H,17,15,E,0110,1,GS-15,O,XXXX,2,15,F,1,200909,1,"$153,200",13.7
AG02,11,C,07,12,C,0110,1,GS-12,G,XXXX,8,10,F,1,200909,1,"$77,973",4.0
AG02,11,H,17,13,H,0110,1,GS-13,K,XXXX,8,10,F,1,200909,1,"$113,007",27.7
AG02,11,K,17,15,J,0110,1,GS-15,O,XXXX,2,10,F,1,200909,1,"$153,200",35.7
AG02,11,G,14,12,G,0110,1,GS-12,I,XXXX,8,10,F,1,200909,1,"$90,154",23.3
AG02,47,E,21,14,B,0110,1,GS-14,I,XXXX,8,15,F,1,200909,1,"$98,178",1.2
AG02,11,G,21,14,D,0110,1,GS-14,K,XXXX,8,10,F,1,200909,1,"$119,844",8.4
AG02,11,F,17,12,E,0110,1,GS-12,H,XXXX,8,10,F,1,200909,1,"$85,281",11.7
AG02,11,G,13,13,G,0110,1,GS-13,J,XXXX,8,10,F,1,200909,1,"$104,314",21.9
AG03,23,C,,07,A,0119,3,GS-07,C,XXXX,8,42,P,2,200909,1,"$38,117",0.3
AG03,11,F,04,14,F,0110,1,GS-14,L,XXXX,8,10,F,1,200909,1,"$123,269",19.8
AG07,55,F,17,12,E,0110,1,GS-12,H,XXXX,8,10,F,1,200909,1,"$83,387",14.4
AG07,11,J,21,,H,0110,1,SL-00,P,XXXX,2,10,F,1,200909,1,"$162,900",28.7
AG08,29,G,17,14,G,0110,1,GS-14,K,XXXX,8,10,F,1,200909,1,"$110,848",22.9
AG08,29,B,13,09,B,0110,1,GS-09,D,XXXX,8,32,F,1,200909,1,"$46,625",1.5
AG08,29,C,13,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200909,1,"$85,763",6.3
AG08,29,C,07,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200909,1,"$83,083",9.7
AG08,29,F,11,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,200909,1,"$91,123",11.3
AG08,29,H,13,13,F,0110,1,GS-13,I,XXXX,8,10,F,1,200909,1,"$96,484",19.5
AG08,29,E,13,13,E,0110,1,GS-13,H,XXXX,8,10,F,1,200909,1,"$88,443",12.9
AG08,11,E,11,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,200909,1,"$101,416",11.9
AG08,29,G,17,14,G,0110,1,GS-14,K,XXXX,8,10,F,1,200909,1,"$110,848",24.8
AG08,29,E,17,13,D,0110,1,GS-13,I,XXXX,8,10,F,1,200909,1,"$91,123",7.0
AG08,29,G,17,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200909,1,"$88,443",7.3
AG08,11,I,21,14,G,0110,1,GS-14,L,XXXX,8,10,F,1,200909,1,"$126,693",20.5
AG08,29,G,13,13,G,0110,1,GS-13,I,XXXX,8,10,F,1,200909,1,"$96,484",22.6
AG08,29,H,17,14,F,0110,1,GS-14,K,XXXX,8,10,F,1,200909,1,"$114,016",19.5
AG08,29,C,13,11,D,0110,1,GS-11,E,XXXX,8,10,F,1,200909,1,"$56,411",5.4
AG08,29,H,17,13,H,0110,1,GS-13,J,XXXX,8,10,F,1,200909,1,"$101,844",28.6
AG08,29,J,17,13,G,0110,1,GS-13,I,XXXX,8,10,F,1,200909,1,"$96,484",24.4
AG10,11,C,13,12,C,0110,1,GS-12,G,XXXX,8,15,F,1,200909,1,"$73,100",3.4
AG10,11,I,17,14,G,0110,1,GS-14,K,XXXX,8,10,F,1,200909,1,"$116,419",20.6
AG10,11,E,17,12,C,0110,1,GS-12,G,XXXX,8,15,F,1,200909,1,"$73,100",4.6
AG10,11,E,21,11,C,0110,1,GS-11,G,XXXX,8,15,F,1,200909,1,"$75,215",3.3
AG10,11,E,13,14,D,0110,1,GS-14,J,XXXX,8,10,F,1,200909,1,"$106,145",7.7
AG10,11,C,13,12,C,0110,1,GS-12,G,XXXX,8,15,F,1,200909,1,"$73,100",4.2
AG10,11,F,17,12,G,0110,1,GS-12,I,XXXX,8,10,F,1,200909,1,"$90,154",22.0
AG10,11,F,17,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,200909,1,"$104,314",10.5
AG10,11,G,17,13,G,0110,1,GS-13,K,XXXX,8,10,F,1,200909,1,"$113,007",20.3
AG10,11,D,13,11,D,0110,1,GS-11,F,XXXX,8,15,F,1,200909,1,"$63,021",6.3
AG10,11,F,13,12,F,0110,1,GS-12,H,XXXX,8,10,F,1,200909,1,"$80,409",17.7
AG10,11,G,13,14,G,0110,1,GS-14,L,XXXX,8,10,S,2,200909,1,"$126,693",22.1
