AGY,AGYT,AGYSUB,AGYSUBT,SEP,SEPT,EFDATE,AGELVLT,EDLVL,EDLVLT,LOS,OCC,OCCT,OCCFAM,OCCFAMT,PAYPLAN,PAYPLANT,STEMAGGT,STEMTYPT,SUPERVIS,SUPERVIST,TOA,TOAT,WORKSCH,WORKSCHT,COUNT,LOC,STATE,STATET,COUNTRY,COUNTRYT,SALARY,GRD
IN,DEPARTMENT OF INTERIOR,IN08,GEOLOGICAL SURVEY,SC,Quit,202311,25-29,17,MASTER'S DEGREE,0.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,20,NONPERMANENT (COMPETITTIVE SERVICE NONPERMANENT),F,FULL-TIME,1,08,CO,COLORADO,US,UNITED STATES,65379,09
IN,DEPARTMENT OF INTERIOR,IN27,BUREAU OF OCEAN ENERGY MANAGEMENT,SA,Transfer Out - Individual Transfer,202310,50-54,21,DOCTORATE DEGREE,15.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,150016,14
IN,DEPARTMENT OF INTERIOR,IN01,OFFICE OF THE SECRETARY OF THE INTERIOR,SA,Transfer Out - Individual Transfer,202310,55-59,21,DOCTORATE DEGREE,2.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,160889,15
NF,NATIONAL SCIENCE FOUNDATION,NF00,NATIONAL SCIENCE FOUNDATION,SD,Retirement - Voluntary,202312,65 OR MORE,17,MASTER'S DEGREE,44.6,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,172075,14
AM,U.S. AGENCY FOR INTERNATIONAL DEV,AM00,U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,SA,Transfer Out - Individual Transfer,202310,35-39,17,MASTER'S DEGREE,6.7,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",FP,FOREIGN SERVICE PERSONNEL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,48,OTHER (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,137862,02
TR,DEPARTMENT OF TREASURY,TRAJ,OFFICE OF THE COMPTROLLER OF THE CURRENCY,SC,Quit,202402,40-44,17,MASTER'S DEGREE,8.5,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",NB,OFFICE OF THE COMPTROLLER OF THE CURRENCY ONLY,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,206555,06
TR,DEPARTMENT OF TREASURY,TRAJ,OFFICE OF THE COMPTROLLER OF THE CURRENCY,SD,Retirement - Voluntary,202402,65 OR MORE,21,DOCTORATE DEGREE,40.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",NB,OFFICE OF THE COMPTROLLER OF THE CURRENCY ONLY,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,302200,07
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE36,FOOD AND DRUG ADMINISTRATION,SA,Transfer Out - Individual Transfer,202312,40-44,17,MASTER'S DEGREE,10.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,24,MD,MARYLAND,US,UNITED STATES,158840,14
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE39,CENTERS FOR DISEASE CONTROL AND PREVENTION,SC,Quit,202312,55-59,17,MASTER'S DEGREE,23.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,13,GA,GEORGIA,US,UNITED STATES,135209,13
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE10,OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,SA,Transfer Out - Individual Transfer,202311,35-39,21,DOCTORATE DEGREE,7.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,119482,13
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE39,CENTERS FOR DISEASE CONTROL AND PREVENTION,SC,Quit,202401,30-34,21,DOCTORATE DEGREE,1.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",AD,"ADMINISTRATIVELY DETERMINED RATES, NOT ELSEWHERE SPECIFIED",STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,48,OTHER (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,13,GA,GEORGIA,US,UNITED STATES,96213,00
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE70,CENTERS FOR MEDICARE & MEDICAID SERVICES,SC,Quit,202310,30-34,21,DOCTORATE DEGREE,4.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,29,MO,MISSOURI,US,UNITED STATES,107407,13
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE70,CENTERS FOR MEDICARE & MEDICAID SERVICES,SC,Quit,202312,30-34,17,MASTER'S DEGREE,2.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,94199,12
HS,DEPARTMENT OF HOMELAND SECURITY,HSCB,FEDERAL EMERGENCY MANAGEMENT AGENCY,SC,Quit,202401,55-59,13,BACHELOR'S DEGREE,3.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,136780,14
TD,DEPARTMENT OF TRANSPORTATION,TD17,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,SA,Transfer Out - Individual Transfer,202310,35-39,14,POST-BACHELOR'S,11.5,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,145604,14
TD,DEPARTMENT OF TRANSPORTATION,TD13,MARITIME ADMINISTRATION,SA,Transfer Out - Individual Transfer,202312,35-39,17,MASTER'S DEGREE,10.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,154428,14
TW,SURFACE TRANSPORTATION BOARD,TW00,SURFACE TRANSPORTATION BOARD,SA,Transfer Out - Individual Transfer,202310,50-54,21,DOCTORATE DEGREE,14.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,172075,14
TR,DEPARTMENT OF TREASURY,TRAJ,OFFICE OF THE COMPTROLLER OF THE CURRENCY,SA,Transfer Out - Individual Transfer,202310,40-44,13,BACHELOR'S DEGREE,2.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",NB,OFFICE OF THE COMPTROLLER OF THE CURRENCY ONLY,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,213734,06
AG,DEPARTMENT OF AGRICULTURE,AG16,NATURAL RESOURCES CONSERVATION SERVICE,SD,Retirement - Voluntary,202312,60-64,13,BACHELOR'S DEGREE,34.7,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,19,IA,IOWA,US,UNITED STATES,108262,12
AG,DEPARTMENT OF AGRICULTURE,AG18,ECONOMIC RESEARCH SERVICE,SA,Transfer Out - Individual Transfer,202311,30-34,21,DOCTORATE DEGREE,3.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,123216,13
AG,DEPARTMENT OF AGRICULTURE,AG18,ECONOMIC RESEARCH SERVICE,SD,Retirement - Voluntary,202312,65 OR MORE,21,DOCTORATE DEGREE,15.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,29,MO,MISSOURI,US,UNITED STATES,180545,15
AG,DEPARTMENT OF AGRICULTURE,AG18,ECONOMIC RESEARCH SERVICE,SJ,Termination (Expired Appt/Other),202312,65 OR MORE,21,DOCTORATE DEGREE,39.5,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,4,SUPERVISOR (CSRA),20,NONPERMANENT (COMPETITTIVE SERVICE NONPERMANENT),P,PART-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,183500,15
AG,DEPARTMENT OF AGRICULTURE,AG18,ECONOMIC RESEARCH SERVICE,SC,Quit,202310,35-39,21,DOCTORATE DEGREE,8.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,141192,14
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,SC,Quit,202312,25-29,13,BACHELOR'S DEGREE,5.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,48,OTHER (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,64957,09
AG,DEPARTMENT OF AGRICULTURE,AG16,NATURAL RESOURCES CONSERVATION SERVICE,SD,Retirement - Voluntary,202312,60-64,17,MASTER'S DEGREE,32.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,54,WV,WEST VIRGINIA,US,UNITED STATES,107680,12
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,SC,Quit,202311,25-29,17,MASTER'S DEGREE,1.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,78592,11
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,SJ,Termination (Expired Appt/Other),202310,20-24,01,NO FORMAL EDUCATION OR SOME ELEMENTARY SCHOOL - DID NOT COMPLETE,2.0,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,40,SCHEDULE A (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,31284,02
TR,DEPARTMENT OF TREASURY,TR91,DEPARTMENTAL OFFICES,SL,Other Separation,202402,30-34,17,MASTER'S DEGREE,0.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,145489,13
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,SC,Quit,202403,50-54,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,38,OTHER (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,68405,09
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,SD,Retirement - Voluntary,202401,65 OR MORE,21,DOCTORATE DEGREE,40.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,128956,12
TR,DEPARTMENT OF TREASURY,TR91,DEPARTMENTAL OFFICES,SD,Retirement - Voluntary,202402,55-59,17,MASTER'S DEGREE,32.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,181216,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SL,Other Separation,202312,40-44,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.1,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,25,MA,MASSACHUSETTS,US,UNITED STATES,42404,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202311,45-49,17,MASTER'S DEGREE,19.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,106759,12
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202311,45-49,13,BACHELOR'S DEGREE,21.9,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,154428,14
DL,DEPARTMENT OF LABOR,DLPW,EMPLOYEE BENEFITS SECURITY ADMINISTRATION,SA,Transfer Out - Individual Transfer,202311,40-44,17,MASTER'S DEGREE,12.5,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,172075,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202310,20-24,13,BACHELOR'S DEGREE,1.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,64957,09
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202311,50-54,17,MASTER'S DEGREE,24.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,138150,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202310,30-34,13,BACHELOR'S DEGREE,8.9,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,109463,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202311,60-64,17,MASTER'S DEGREE,23.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,145617,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202311,65 OR MORE,14,POST-BACHELOR'S,24.5,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,17,IL,ILLINOIS,US,UNITED STATES,119964,12
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202310,45-49,13,BACHELOR'S DEGREE,23.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,163252,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202311,20-24,13,BACHELOR'S DEGREE,2.2,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,78592,11
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202310,25-29,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,4.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,97339,12
DN,DEPARTMENT OF ENERGY,DN00,DEPARTMENT OF ENERGY,SD,Retirement - Voluntary,202310,55-59,13,BACHELOR'S DEGREE,41.7,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,158840,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202310,60-64,14,POST-BACHELOR'S,31.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,29,MO,MISSOURI,US,UNITED STATES,109233,12
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202310,65 OR MORE,17,MASTER'S DEGREE,12.6,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,36,NY,NEW YORK,US,UNITED STATES,65490,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202310,25-29,13,BACHELOR'S DEGREE,0.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,42,PA,PENNSYLVANIA,US,UNITED STATES,51241,07
DN,DEPARTMENT OF ENERGY,DN00,DEPARTMENT OF ENERGY,SC,Quit,202401,40-44,17,MASTER'S DEGREE,21.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,141884,13
EB,EXPORT-IMPORT BANK OF THE UNITED STATES,EB00,EXPORT-IMPORT BANK OF THE UNITED STATES,SD,Retirement - Voluntary,202401,65 OR MORE,17,MASTER'S DEGREE,45.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,172075,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202401,65 OR MORE,17,MASTER'S DEGREE,22.1,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,53,WA,WASHINGTON,US,UNITED STATES,59147,07
