AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF13,51,D,21,13,C,0110,1,99,GS-13,J,0110,5,20,F,2,201909,1,102477,04.2
AF3Q,51,E,17,13,E,0110,1,99,GS-13,J,0110,8,15,F,1,201909,1,105782,14.1
AF3Q,51,B,13,09,B,0110,1,99,GS-09,E,0110,8,15,F,1,201909,1,059426,01.2
AG02,11,J,17,13,G,0110,1,99,GS-13,K,0110,8,10,F,1,201909,1,119004,21.6
AG02,47,G,21,14,E,0110,1,99,GS-14,L,0110,8,10,F,1,201909,1,125788,11.2
AG02,11,J,21,14,F,0110,1,99,GS-14,N,0110,5,10,F,1,201909,1,144538,19.8
AG02,11,I,13,13,I,0110,1,99,GS-13,L,0110,8,10,F,1,201909,1,128920,31.9
AG02,11,I,21,14,F,0110,1,99,GS-14,O,0110,8,10,F,1,201909,1,152352,18.4
AG02,08,J,21,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,201909,1,125910,15.4
AG02,11,K,17,14,F,0110,1,99,GS-14,O,0110,8,10,F,1,201909,1,152352,19.8
AG02,11,J,21,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,201909,1,125615,19.8
AG02,11,J,17,13,I,0110,1,99,GS-13,L,0110,8,10,P,2,201909,1,128920,34.5
AG02,11,J,17,15,G,0110,1,99,GS-15,P,0110,2,10,F,1,201909,1,166500,23.6
AG02,11,K,21,14,H,0110,1,99,GS-14,O,0110,5,10,F,1,201909,1,152352,26.6
AG02,11,J,17,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,201909,1,122310,15.8
AG02,11,F,17,13,E,0110,1,99,GS-13,K,0110,5,10,F,1,201909,1,119004,13.2
AG02,37,F,13,13,F,0110,1,99,GS-13,K,0110,8,10,P,2,201909,1,110418,19.3
AG02,11,F,13,14,F,0110,1,99,GS-14,N,0110,5,10,F,1,201909,1,144538,17.4
AG02,08,F,17,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,201909,1,122682,20.6
AG02,19,H,18,12,G,0110,1,99,GS-12,I,0110,8,10,F,1,201909,1,096978,21.0
AG02,11,I,14,12,I,0110,1,99,GS-12,J,0110,8,10,F,1,201909,1,108422,33.3
AG02,39,E,17,13,D,0110,1,99,GS-13,I,0110,8,10,P,2,201909,1,097022,09.4
AG02,11,E,17,13,D,0110,1,99,GS-13,I,0110,2,10,F,1,201909,1,099172,09.6
AG02,11,H,21,15,D,0110,1,99,GS-15,P,0110,2,10,F,1,201909,1,166500,07.3
AG02,12,D,17,13,D,0110,1,99,GS-13,I,0110,8,10,F,1,201909,1,094617,05.3
AG02,06,D,21,13,C,0110,1,99,GS-13,J,0110,8,10,F,1,201909,1,107630,04.3
AG02,11,D,17,13,C,0110,1,99,GS-13,I,0110,8,10,F,1,201909,1,099172,04.2
AG02,11,H,21,12,C,0110,1,99,GS-12,J,0110,8,10,F,1,201909,1,100081,03.8
AG02,11,D,21,12,B,0110,1,99,GS-12,H,0110,8,15,F,1,201909,1,088959,02.6
AG02,11,G,17,13,A,0110,1,99,GS-13,I,0110,8,15,F,1,201909,1,099172,00.6
AG02,11,E,21,11,A,0110,1,99,GS-11,I,0110,8,15,F,1,201909,1,090461,00.3
AG02,11,D,04,13,D,0110,1,99,GS-13,J,0110,8,15,F,1,201909,1,102477,09.0
AG07,11,K,21,,J,0110,1,SL,SL-00,S,0110,5,10,F,1,201909,1,192300,38.7
AG08,29,G,17,13,F,0110,1,99,GS-13,K,0110,8,10,F,1,201909,1,113259,17.0
AG08,29,E,13,13,E,0110,1,99,GS-13,J,0110,8,10,F,1,201909,1,104319,13.4
AG08,29,I,13,13,I,0110,1,99,GS-13,K,0110,8,10,F,1,201909,1,116240,32.6
AG08,29,E,13,13,F,0110,1,99,GS-13,K,0110,8,10,F,1,201909,1,110279,16.3
AG08,29,H,11,13,G,0110,1,99,GS-13,K,0110,8,10,F,1,201909,1,113259,21.3
AG08,29,D,17,13,D,0110,1,99,GS-13,I,0110,8,10,F,1,201909,1,095378,09.6
AG08,29,E,08,13,D,0110,1,99,GS-13,I,0110,8,10,F,1,201909,1,095378,06.9
AG08,29,E,13,13,D,0110,1,99,GS-13,I,0110,8,10,F,1,201909,1,095378,05.8
AG08,29,I,13,13,D,0110,1,99,GS-13,J,0110,8,10,F,1,201909,1,101338,05.0
AG08,29,E,17,13,C,0110,1,99,GS-13,I,0110,8,10,F,1,201909,1,098358,04.3
AG08,29,I,17,13,B,0110,1,99,GS-13,I,0110,8,15,F,1,201909,1,098358,02.9
AG08,29,C,13,13,B,0110,1,99,GS-13,I,0110,8,15,F,1,201909,1,092397,02.9
AG08,29,F,21,13,B,0110,1,99,GS-13,H,0110,8,15,F,1,201909,1,089417,02.7
AG08,29,C,17,09,A,0110,1,99,GS-09,E,0110,8,15,F,1,201909,1,051853,00.9
AG10,11,H,17,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,201909,1,122310,22.0
