AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3C,12,J,21,15,I,0110,1,GS-15,O,XXXX,8,10,F,1,201009,1,"$155,240",30.3
AG02,11,J,21,13,E,0110,1,GS-13,J,XXXX,5,10,F,1,201009,1,"$106,839",13.1
AG02,11,C,17,09,A,0110,1,GS-09,E,XXXX,8,15,F,1,201009,1,"$51,630",0.6
AG02,37,D,13,13,E,0110,1,GS-13,H,XXXX,8,10,F,1,201009,1,"$87,128",10.3
AG02,11,H,21,14,E,0110,1,GS-14,L,XXXX,8,10,F,1,201009,1,"$126,251",14.7
AG02,11,K,17,15,J,0110,1,GS-15,O,XXXX,2,10,F,1,201009,1,"$155,500",36.7
AG02,11,D,17,13,C,0110,1,GS-13,I,XXXX,5,15,F,1,201009,1,"$94,969",4.2
AG02,11,H,17,13,H,0110,1,GS-13,K,XXXX,8,10,F,1,201009,1,"$115,742",28.7
AG02,47,E,21,14,B,0110,1,GS-14,J,XXXX,8,15,F,1,201009,1,"$103,136",2.2
AG02,11,H,13,13,I,0110,1,GM-13,K,XXXX,5,10,F,1,201009,1,"$115,742",31.4
AG02,11,E,17,13,C,0110,1,GS-13,I,XXXX,8,10,F,1,201009,1,"$92,001",3.5
AG02,11,G,21,14,D,0110,1,GS-14,L,XXXX,8,10,F,1,201009,1,"$122,744",9.4
AG02,11,G,13,13,G,0110,1,GS-13,J,XXXX,8,10,F,1,201009,1,"$106,839",22.9
AG02,11,I,21,14,F,0110,1,GS-14,L,XXXX,5,10,F,1,201009,1,"$129,758",17.6
AG02,11,H,17,12,E,0110,1,GS-12,I,XXXX,8,10,F,1,201009,1,"$92,341",12.6
AG02,11,H,13,12,D,0110,1,GS-12,H,XXXX,8,10,F,1,201009,1,"$84,855",9.8
AG02,11,J,21,14,H,0110,1,GS-14,M,XXXX,2,10,F,1,201009,1,"$133,264",27.3
AG02,11,H,21,14,E,0110,1,GS-14,K,XXXX,5,10,F,1,201009,1,"$119,238",10.8
AG02,11,J,21,15,E,0110,1,GS-15,N,XXXX,2,10,F,1,201009,1,"$140,259",11.1
AG02,11,G,13,13,D,0110,1,GS-13,J,XXXX,8,10,F,1,201009,1,"$100,904",8.3
AG02,11,G,17,14,D,0110,1,GS-14,K,XXXX,8,10,F,1,201009,1,"$115,731",9.5
AG02,11,H,21,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201009,1,"$103,872",10.8
AG02,11,H,17,15,E,0110,1,GS-15,O,XXXX,2,10,F,1,201009,1,"$155,500",14.6
AG02,11,H,14,12,G,0110,1,GS-12,I,XXXX,8,10,F,1,201009,1,"$92,341",24.3
AG02,11,I,17,14,I,0110,1,GS-14,M,XXXX,5,10,F,1,201009,1,"$136,771",31.3
AG03,11,G,04,14,G,0110,1,GS-14,L,XXXX,5,10,F,1,201009,1,"$126,251",20.8
AG03,01,D,17,12,D,0110,1,GS-12,H,XXXX,8,10,F,1,201009,1,"$80,276",8.1
AG07,55,G,17,12,E,0110,1,GS-12,H,XXXX,8,10,F,1,201009,1,"$87,157",12.2
AG07,11,J,21,,H,0110,1,SL-00,P,XXXX,2,10,F,1,201009,1,"$165,300",29.7
AG08,29,I,13,13,G,0110,1,GS-13,I,XXXX,8,10,F,1,201009,1,"$98,187",20.5
AG08,29,G,17,14,G,0110,1,GS-14,K,XXXX,8,10,F,1,201009,1,"$112,804",23.9
AG08,29,I,17,13,H,0110,1,GS-13,J,XXXX,8,10,F,1,201009,1,"$103,641",29.6
AG08,29,E,13,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,201009,1,"$92,732",13.9
AG08,29,E,17,13,D,0110,1,GS-13,I,XXXX,8,10,F,1,201009,1,"$92,732",8.0
AG08,29,G,13,13,G,0110,1,GS-13,J,XXXX,8,10,F,1,201009,1,"$100,914",23.6
AG08,29,G,17,13,D,0110,1,GS-13,I,XXXX,8,10,F,1,201009,1,"$90,005",7.8
AG08,11,I,21,14,G,0110,1,GS-14,L,XXXX,8,10,F,1,201009,1,"$129,758",21.5
AG08,29,H,17,14,G,0110,1,GS-14,K,XXXX,5,10,F,1,201009,1,"$116,027",20.5
AG08,29,J,17,13,H,0110,1,GS-13,J,XXXX,8,10,F,1,201009,1,"$100,914",25.4
AG08,11,E,11,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201009,1,"$106,839",12.8
