AGY,AGYT,AGYSUB,AGYSUBT,ACC,ACCT,EFDATE,AGELVL,EDLVL,EDLVLT,LOS,OCC,OCCT,OCCFAM,OCCFAMT,PAYPLAN,PAYPLANT,STEMAGGT,STEMTYPT,SUPERVIS,SUPERVIST,TOA,TOAT,WORKSCH,WORKSCHT,COUNT,sensitive_occupation_ind,dod_ind,security_agency_ind,performance_salary_ind,performance_grade_ind,individual_ind,LOC,STATE,STATET,COUNTRY,COUNTRYT,SALARY,GRD
TR,DEPARTMENT OF TREASURY,TR91,DEPARTMENTAL OFFICES,AC,New Hire - Competitive Service Appointment,202311,35-39,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,4.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,145604,14
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202312,50-54,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,36,NY,NEW YORK,US,UNITED STATES,167774,14
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202311,35-39,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,53,WA,WASHINGTON,US,UNITED STATES,163968,14
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202311,45-49,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,36,NY,NEW YORK,US,UNITED STATES,176842,14
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202310,35-39,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,5,MANAGEMENT OFFICIAL (CSRA),15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,53,WA,WASHINGTON,US,UNITED STATES,121477,13
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AD,New Hire - Excepted Service Appointment,202311,20-24,09,TWO YEARS COLLEGE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,53105,07
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202311,20-24,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,27,MN,MINNESOTA,US,UNITED STATES,89862,12
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202310,30-34,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,2.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,5,MANAGEMENT OFFICIAL (CSRA),20,NONPERMANENT (COMPETITTIVE SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,155700,15
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AD,New Hire - Excepted Service Appointment,202312,20-24,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,64957,09
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AD,New Hire - Excepted Service Appointment,202311,25-29,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,64957,09
