AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3Q,51,B,13,,B,0110,1,99,DR-01,H,0110,8,15,F,1,202009,1,082192,02.2
AG01,11,E,17,15,E,0110,1,99,GS-15,O,0110,5,10,F,1,202009,1,156973,10.8
AG02,08,I,21,14,F,0110,1,99,GS-14,O,0110,8,10,F,1,202009,1,153659,18.9
AG02,11,J,17,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,202009,1,126620,22.6
AG02,47,G,21,14,E,0110,1,99,GS-14,M,0110,8,10,F,1,202009,1,132960,12.2
AG02,11,J,21,14,G,0110,1,99,GS-14,O,0110,5,10,F,1,202009,1,153665,20.8
AG02,11,I,13,13,I,0110,1,99,GS-13,M,0110,8,10,F,1,202009,1,133465,32.9
AG02,11,I,21,14,F,0110,1,99,GS-14,O,0110,8,10,F,1,202009,1,157709,19.4
AG02,08,J,21,14,F,0110,1,99,GS-14,M,0110,2,10,F,1,202009,1,137900,16.4
AG02,11,J,21,13,G,0110,1,99,GS-13,M,0110,8,10,F,1,202009,1,130043,20.8
AG02,11,J,17,13,J,0110,1,99,GS-13,M,0110,8,10,P,2,202009,1,133465,35.5
AG02,11,F,21,14,E,0110,1,99,GS-14,M,0110,5,10,F,1,202009,1,137491,14.8
AG02,37,J,17,15,G,0110,1,99,GS-15,P,0110,2,10,F,1,202009,1,165654,24.6
AG02,11,K,21,14,H,0110,1,99,GS-14,O,0110,5,10,F,1,202009,1,157709,27.6
AG02,11,J,17,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,202009,1,126620,16.8
AG02,11,F,17,14,E,0110,1,99,GS-14,M,0110,5,10,F,1,202009,1,133447,14.2
AG02,37,F,13,13,G,0110,1,99,GS-13,K,0110,8,10,P,2,202009,1,113765,20.3
AG02,11,F,13,14,F,0110,1,99,GS-14,N,0110,5,10,F,1,202009,1,149621,18.4
AG02,08,G,17,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,202009,1,126704,21.6
AG02,11,J,14,12,I,0110,1,99,GS-12,K,0110,8,10,F,1,202009,1,112240,34.3
AG02,11,D,13,12,A,0110,1,99,GS-12,I,0110,8,15,F,1,202009,1,094970,00.8
AG02,42,E,17,13,E,0110,1,99,GS-13,J,0110,8,10,P,2,202009,1,100355,10.4
AG02,11,D,17,11,A,0110,1,99,GS-11,G,0110,8,15,F,1,202009,1,072030,00.3
AG02,11,E,17,14,E,0110,1,99,GS-14,L,0110,2,10,F,1,202009,1,121316,10.6
AG02,11,I,21,15,D,0110,1,99,GS-15,Q,0110,2,10,F,1,202009,1,170800,08.3
AG02,09,D,17,13,D,0110,1,99,GS-13,K,0110,8,10,F,1,202009,1,112074,06.3
AG02,17,D,21,13,D,0110,1,99,GS-13,J,0110,8,10,F,1,202009,1,104549,05.2
AG02,11,D,17,13,D,0110,1,99,GS-13,J,0110,8,10,F,1,202009,1,106085,05.2
AG02,11,H,21,12,C,0110,1,99,GS-12,J,0110,8,10,F,1,202009,1,103605,04.8
