AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF0N,51,I,04,13,D,0110,1,GS-13,H,XXXX,8,10,F,1,200209,1,"$86,095",9.8
AG02,11,H,17,15,H,0110,1,GM-15,K,XXXX,2,10,F,1,200209,1,"$113,554",27.5
AG02,36,D,14,,D,0110,1,MA-18,E,XXXX,8,30,F,1,200209,1,"$50,416",9.3
AG02,11,K,21,12,H,0110,1,GS-12,F,XXXX,8,10,F,1,200209,1,"$68,687",26.4
AG02,11,I,17,15,H,0110,1,GS-15,K,XXXX,2,10,F,1,200209,1,"$113,543",28.7
AG02,11,F,13,13,E,0110,1,GS-13,G,XXXX,8,10,F,1,200209,1,"$70,644",14.9
AG02,11,D,13,13,D,0110,1,GS-13,F,XXXX,8,10,F,1,200209,1,"$68,436",9.3
AG02,11,G,13,13,G,0110,1,GM-13,H,XXXX,5,10,F,1,200209,1,"$80,583",23.4
AG02,11,H,21,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200209,1,"$59,407",2.9
AG02,11,G,13,13,G,0110,1,GS-13,H,XXXX,8,10,F,1,200209,1,"$83,888",23.3
AG02,11,G,17,12,C,0110,1,GS-12,F,XXXX,8,10,F,1,200209,1,"$61,263",4.6
AG02,11,H,21,14,D,0110,1,GS-14,H,XXXX,8,10,F,1,200209,1,"$80,873",9.6
AG02,11,G,17,14,G,0110,1,GS-14,I,XXXX,8,10,F,1,200209,1,"$96,525",23.3
AG02,11,H,21,14,F,0110,1,GS-14,I,XXXX,2,10,F,1,200209,1,"$91,308",19.3
AG02,13,F,21,,B,0110,1,MA-18,E,XXXX,8,30,F,1,200209,1,"$55,597",2.2
AG02,11,E,17,12,C,0110,1,GS-12,E,XXXX,8,10,F,1,200209,1,"$57,550",4.7
AG02,11,C,17,12,D,0110,1,GS-12,E,XXXX,8,10,F,1,200209,1,"$57,550",5.7
AG02,11,F,17,14,E,0110,1,GM-14,I,XXXX,5,10,F,1,200209,1,"$93,916",10.3
AG02,39,E,13,,F,0110,1,MA-19,E,XXXX,8,30,F,1,200209,1,"$58,968",15.3
AG02,11,F,17,13,E,0110,1,GS-13,G,XXXX,8,10,F,1,200209,1,"$72,851",10.3
AG02,11,C,13,13,C,0110,1,GS-13,F,XXXX,8,10,F,1,200209,1,"$66,229",3.8
AG02,17,H,17,,F,0110,1,MA-20,G,XXXX,2,30,F,1,200209,1,"$71,742",17.3
AG02,11,G,17,13,D,0110,1,GS-13,F,XXXX,8,10,F,1,200209,1,"$66,229",8.0
AG02,11,G,17,14,F,0110,1,GS-14,H,XXXX,8,10,F,1,200209,1,"$88,699",15.1
AG02,11,H,17,15,H,0110,1,GS-15,K,XXXX,2,10,F,1,200209,1,"$113,543",26.3
AG02,13,C,17,,B,0110,1,MA-16,D,XXXX,8,30,F,1,200209,1,"$46,341",2.2
AG02,27,F,13,,F,0110,1,MA-18,E,XXXX,8,30,F,1,200209,1,"$59,051",15.8
AG02,11,F,14,11,F,0110,1,GS-11,F,XXXX,8,10,F,1,200209,1,"$60,405",16.3
AG02,11,G,21,12,B,0110,1,GS-12,E,XXXX,8,15,F,1,200209,1,"$59,407",2.8
AG02,48,F,17,,F,0110,1,MA-19,E,XXXX,8,30,F,1,200209,1,"$58,968",16.3
AG02,11,F,17,11,B,0110,1,GS-11,D,XXXX,8,15,F,1,200209,1,"$46,469",1.5
AG02,11,F,17,12,F,0110,1,GS-12,E,XXXX,8,10,F,1,200209,1,"$59,407",19.4
AG02,27,F,13,,G,0110,1,MA-18,F,XXXX,8,30,F,1,200209,1,"$60,778",21.3
