AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3Q,51,E,21,,A,0110,1,99,DR-02,J,0110,8,15,F,1,202109,1,104079,00.8
AF3Q,51,C,13,,C,0110,1,99,DR-01,H,0110,8,15,F,1,202109,1,089482,03.2
AG01,11,E,17,15,E,0110,1,99,GS-15,P,0110,5,10,F,1,202109,1,163345,11.8
AG02,08,F,14,13,E,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,131337,12.9
AG02,08,I,21,14,F,0110,1,99,GS-14,O,0110,8,10,F,1,202109,1,155196,19.9
AG02,11,J,17,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,202109,1,127885,23.6
AG02,47,H,21,14,E,0110,1,99,GS-14,M,0110,8,10,F,1,202109,1,134290,13.2
AG02,11,J,21,14,G,0110,1,99,GS-14,O,0110,5,10,F,1,202109,1,155202,21.8
AG02,11,J,13,13,I,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,134798,33.9
AG02,11,I,21,14,G,0110,1,99,GS-14,O,0110,5,10,F,1,202109,1,159286,20.4
AG02,08,K,21,14,F,0110,1,99,GS-14,M,0110,2,10,F,1,202109,1,139280,17.4
AG02,11,J,21,13,G,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,134798,21.8
AG02,11,J,17,13,J,0110,1,99,GS-13,M,0110,8,10,P,2,202109,1,134798,36.5
AG02,11,G,21,14,F,0110,1,99,GS-14,N,0110,5,10,F,1,202109,1,142950,15.8
AG02,11,K,21,14,H,0110,1,99,GS-14,O,0110,5,10,F,1,202109,1,159286,28.6
AG02,11,J,17,13,F,0110,1,99,GS-13,L,0110,8,10,F,1,202109,1,127885,17.8
AG02,11,F,17,14,F,0110,1,99,GS-14,M,0110,5,10,F,1,202109,1,134782,15.2
AG02,37,F,13,13,G,0110,1,99,GS-13,K,0110,8,10,P,2,202109,1,118093,21.3
AG02,11,G,13,14,F,0110,1,99,GS-14,O,0110,5,10,F,1,202109,1,155202,19.4
AG02,08,G,17,13,G,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,131337,22.6
AG02,11,H,21,13,B,0110,1,99,GS-13,K,0110,8,10,F,1,202109,1,110603,01.7
AG02,11,J,14,12,J,0110,1,99,GS-12,K,0110,8,10,F,1,202109,1,113362,35.3
AG02,11,D,13,12,B,0110,1,99,GS-12,I,0110,8,10,F,1,202109,1,095920,01.8
AG02,42,E,17,13,E,0110,1,99,GS-13,J,0110,8,10,P,2,202109,1,101358,11.4
AG02,11,E,17,15,E,0110,1,99,GS-15,N,0110,2,10,F,1,202109,1,144128,11.6
AG02,11,I,21,15,E,0110,1,99,GS-15,Q,0110,2,10,F,1,202109,1,172500,11.9
AG02,09,D,17,13,D,0110,1,99,GS-13,K,0110,8,10,F,1,202109,1,113194,07.3
AG02,08,E,21,14,D,0110,1,99,GS-14,K,0110,5,10,F,1,202109,1,119384,06.2
AG02,11,D,17,13,D,0110,1,99,GS-13,K,0110,8,10,F,1,202109,1,110603,06.2
AG02,11,H,21,13,D,0110,1,99,GS-13,K,0110,8,10,F,1,202109,1,110603,05.8
AG02,11,G,17,13,B,0110,1,99,GS-13,K,0110,8,15,F,1,202109,1,110603,02.6
AG02,11,G,21,13,B,0110,1,99,GS-13,J,0110,8,15,F,1,202109,1,103690,01.9
AG02,11,D,17,12,B,0110,1,99,GS-12,H,0110,8,15,F,1,202109,1,087198,01.3
AG02,11,G,17,12,A,0110,1,99,GS-12,K,0110,8,15,F,1,202109,1,113362,00.9
AG02,11,G,21,12,A,0110,1,99,GS-12,J,0110,8,15,F,1,202109,1,104641,00.9
AG02,11,D,04,13,E,0110,1,99,GS-13,K,0110,8,10,F,1,202109,1,114059,11.0
AG03,01,F,17,11,F,0110,1,99,GS-11,G,0110,8,15,F,1,202109,1,073271,16.2
AG03,06,E,04,12,A,0110,1,99,GS-12,H,0110,4,15,F,1,202109,1,084452,00.2
AG07,11,I,17,13,I,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,134798,31.3
AG07,11,K,21,14,H,0110,1,99,GS-14,O,0110,8,10,F,1,202109,1,159286,29.7
AG07,11,C,17,12,A,0110,1,99,GS-12,H,0110,8,15,F,1,202109,1,087198,00.9
AG08,29,E,13,13,F,0110,1,99,GS-13,K,0110,8,10,F,1,202109,1,111698,15.4
AG08,29,I,13,13,I,0110,1,99,GS-13,L,0110,8,10,F,1,202109,1,121006,34.6
AG08,29,F,13,13,F,0110,1,99,GS-13,K,0110,8,10,F,1,202109,1,117903,18.3
AG08,29,I,11,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,202109,1,121006,23.3
AG08,29,E,17,13,E,0110,1,99,GS-13,J,0110,8,10,F,1,202109,1,102389,11.6
AG08,29,E,08,13,D,0110,1,99,GS-13,J,0110,8,10,F,1,202109,1,102389,08.9
AG08,29,E,13,13,D,0110,1,99,GS-13,J,0110,8,10,F,1,202109,1,102389,07.8
AG08,29,J,13,13,D,0110,1,99,GS-13,J,0110,8,10,F,1,202109,1,108595,07.0
AG08,29,D,17,14,D,0110,1,99,GS-14,K,0110,8,10,F,1,202109,1,113659,06.9
AG08,29,J,17,13,C,0110,1,99,GS-13,J,0110,8,10,F,1,202109,1,105492,04.9
AG08,29,G,21,13,C,0110,1,99,GS-13,I,0110,8,10,F,1,202109,1,099286,04.7
AG08,29,F,17,13,C,0110,1,99,GS-13,I,0110,8,10,F,1,202109,1,096184,03.3
AG08,29,C,17,12,B,0110,1,99,GS-12,G,0110,8,15,F,1,202109,1,078277,02.9
AG08,29,D,04,13,D,0110,1,99,GS-13,I,0110,8,15,F,1,202109,1,093081,05.3
AG08,29,C,13,11,B,0110,1,99,GS-11,F,0110,8,15,F,1,202109,1,065307,01.2
AG10,11,G,17,14,E,0110,1,99,GS-14,M,0110,5,10,F,1,202109,1,130698,13.0
AG10,11,H,17,13,G,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,131341,24.0
AG10,11,H,13,14,H,0110,1,99,GS-14,O,0110,8,10,F,1,202109,1,159286,26.8
AG10,11,K,17,13,J,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,134798,40.8
AG10,11,F,13,13,G,0110,1,99,GS-13,L,0110,8,10,F,1,202109,1,127885,20.3
AG10,11,I,17,13,G,0110,1,99,GS-13,M,0110,8,10,F,1,202109,1,134798,23.3
