AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF0N,51,J,04,13,E,0110,1,GS-13,I,XXXX,8,10,F,1,200409,1,"$93,742",11.8
AG02,39,E,13,,F,0110,1,MA-19,F,XXXX,8,30,F,1,200409,1,"$64,429",17.3
AG02,11,C,13,12,C,0110,1,GS-12,F,XXXX,8,15,F,1,200409,1,"$60,638",4.3
AG02,11,C,18,09,A,0110,1,GS-09,D,XXXX,8,15,F,1,200409,1,"$41,815",0.1
AG02,11,H,13,13,H,0110,1,GS-13,I,XXXX,8,10,F,1,200409,1,"$93,742",25.3
AG02,11,G,17,12,D,0110,1,GS-12,F,XXXX,8,10,F,1,200409,1,"$68,722",6.6
AG02,27,H,17,,F,0110,1,MA-20,G,XXXX,2,30,F,1,200409,1,"$78,140",19.3
AG02,11,G,17,14,F,0110,1,GS-14,I,XXXX,2,10,F,1,200409,1,"$99,413",17.1
AG02,11,F,17,12,C,0110,1,GS-12,F,XXXX,8,10,F,1,200409,1,"$62,659",3.5
AG02,11,F,13,13,F,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$79,319",16.9
AG02,11,G,17,14,E,0110,1,GM-14,J,XXXX,5,10,F,1,200409,1,"$102,253",12.3
AG02,11,D,17,12,D,0110,1,GS-12,F,XXXX,8,10,F,1,200409,1,"$64,680",7.7
AG02,27,G,13,,G,0110,1,MA-18,F,XXXX,8,30,F,1,200409,1,"$66,185",23.3
AG02,11,H,21,14,E,0110,1,GS-14,I,XXXX,8,10,F,1,200409,1,"$96,572",11.6
AG02,11,H,17,14,H,0110,1,GS-14,K,XXXX,8,10,F,1,200409,1,"$110,775",25.3
AG02,53,F,17,,E,0110,1,MA-21,G,XXXX,2,30,F,1,200409,1,"$74,818",14.3
AG02,11,J,10,14,G,0110,1,GS-14,I,XXXX,2,10,F,1,200409,1,"$99,413",24.8
AG02,11,I,21,14,G,0110,1,GS-14,J,XXXX,2,10,F,1,200409,1,"$102,253",21.3
AG02,11,G,21,13,C,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$74,512",4.8
AG02,11,I,17,15,H,0110,1,GM-15,M,XXXX,2,10,F,1,200409,1,"$130,305",29.5
AG02,36,E,14,,E,0110,1,MA-19,E,XXXX,8,30,F,1,200409,1,"$58,456",11.3
AG02,13,F,21,,C,0110,1,MA-18,F,XXXX,8,30,F,1,200409,1,"$64,356",4.2
AG02,27,E,21,,B,0110,1,MA-14,D,XXXX,8,30,F,1,200409,1,"$48,702",1.3
AG02,21,D,17,,D,0110,1,MA-20,G,XXXX,2,30,F,1,200409,1,"$71,609",5.8
AG02,11,D,13,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$76,916",5.8
AG02,13,C,17,,C,0110,1,MA-17,E,XXXX,8,30,F,1,200409,1,"$54,948",4.2
AG02,11,E,17,12,D,0110,1,GS-12,F,XXXX,8,10,F,1,200409,1,"$66,701",6.7
AG02,53,D,14,,D,0110,1,MA-15,D,XXXX,8,30,F,1,200409,1,"$47,222",7.3
AG02,11,I,21,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$79,319",7.1
AG02,11,F,21,14,C,0110,1,GS-14,H,XXXX,2,15,F,1,200409,1,"$88,051",3.4
AG02,11,G,13,13,H,0110,1,GM-13,I,XXXX,5,10,F,1,200409,1,"$90,145",25.4
AG02,11,J,17,15,I,0110,1,GS-15,L,XXXX,2,10,F,1,200409,1,"$123,622",30.7
AG02,48,F,17,,F,0110,1,MA-19,F,XXXX,8,30,F,1,200409,1,"$64,429",18.3
AG02,20,G,17,,G,0110,1,MA-20,G,XXXX,2,30,F,1,200409,1,"$75,963",24.1
AG02,11,F,14,12,F,0110,1,GS-12,G,XXXX,8,10,F,1,200409,1,"$70,743",18.3
AG03,01,C,21,12,A,0110,1,GS-12,F,XXXX,8,15,F,1,200409,1,"$66,486",0.3
AG03,24,K,21,15,I,0110,1,GS-15,L,XXXX,8,10,F,1,200409,1,"$123,622",30.5
AG03,24,F,,13,C,0110,1,GS-13,G,XXXX,8,20,F,2,200409,1,"$76,916",3.8
AG03,11,E,04,14,E,0110,1,GS-14,I,XXXX,8,10,F,1,200409,1,"$93,732",14.8
AG07,55,E,17,12,D,0110,1,GS-12,G,XXXX,8,10,F,1,200409,1,"$70,396",9.7
AG08,29,I,17,13,F,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$79,520",19.4
AG08,29,F,21,14,A,0110,1,GS-14,H,XXXX,8,15,F,1,200409,1,"$82,913",0.8
AG08,29,G,17,13,G,0110,1,GS-13,H,XXXX,8,10,F,1,200409,1,"$84,198",23.6
AG08,29,G,13,13,E,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$79,520",14.5
AG08,29,F,17,14,F,0110,1,GS-14,H,XXXX,8,10,F,1,200409,1,"$85,677",17.9
AG08,29,F,17,11,B,0110,1,GS-11,D,XXXX,8,15,F,1,200409,1,"$49,229",2.3
AG08,11,H,21,14,F,0110,1,GS-14,I,XXXX,8,10,F,1,200409,1,"$99,413",15.5
AG08,29,F,13,13,F,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$79,520",17.6
AG08,29,F,17,14,F,0110,1,GS-14,I,XXXX,8,10,F,1,200409,1,"$91,205",19.8
AG08,29,D,17,13,B,0110,1,GS-13,G,XXXX,8,15,F,1,200409,1,"$70,164",2.0
AG08,29,E,11,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$72,503",6.3
AG08,29,B,13,09,B,0110,1,GS-09,D,XXXX,8,38,F,1,200409,1,"$40,688",1.3
AG08,29,C,11,05,B,0110,1,GS-05,B,XXXX,8,15,F,1,200409,1,"$26,853",2.3
AG08,29,D,13,12,D,0110,1,GS-12,E,XXXX,8,10,F,1,200409,1,"$59,004",7.9
AG10,11,I,17,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$76,916",6.3
AG10,11,H,14,15,G,0110,1,GS-15,M,XXXX,8,10,F,1,200409,1,"$130,305",24.3
AG10,11,I,13,13,I,0110,1,GS-13,I,XXXX,8,10,F,1,200409,1,"$93,742",34.6
AG10,11,C,13,09,B,0110,1,GS-09,D,XXXX,8,15,F,1,200409,1,"$41,815",2.1
AG10,11,E,17,13,E,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$76,916",12.2
AG10,11,F,17,12,D,0110,1,GS-12,G,XXXX,8,10,F,1,200409,1,"$78,826",7.5
AG10,11,C,13,09,B,0110,1,GS-09,D,XXXX,8,15,F,1,200409,1,"$41,815",1.6
AG10,11,F,17,14,F,0110,1,GS-14,I,XXXX,8,10,F,1,200409,1,"$96,572",16.9
AG10,11,C,13,09,B,0110,1,GS-09,D,XXXX,8,15,F,1,200409,1,"$41,815",1.3
AG10,11,C,17,11,B,0110,1,GS-11,E,XXXX,8,15,F,1,200409,1,"$50,593",1.8
AG10,11,E,13,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$72,108",8.9
AG10,11,G,13,12,C,0110,1,GS-12,F,XXXX,8,10,F,1,200409,1,"$64,680",3.9
AG10,11,F,13,13,D,0110,1,GS-13,G,XXXX,8,10,F,1,200409,1,"$74,512",5.8
AG10,11,H,04,14,I,0110,1,GS-14,K,XXXX,8,10,F,1,200409,1,"$110,775",34.3
