AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3Q,51,F,21,,B,0110,1,99,DR-02,11,0110,8,15,F,1,202209,1,112162,01.8
AF3Q,31,F,17,13,A,0110,1,99,GS-13,11,0110,8,15,F,1,202209,1,110792,00.8
AG01,11,E,17,15,E,0110,1,99,GS-15,16,0110,5,10,F,1,202209,1,168282,12.8
AG02,08,F,14,13,E,0110,1,99,GS-13,13,0110,8,10,F,1,202209,1,135247,13.9
AG02,08,I,21,14,G,0110,1,99,GS-14,15,0110,2,10,F,1,202209,1,159823,20.9
AG02,11,K,17,13,G,0110,1,99,GS-13,13,0110,8,10,F,1,202209,1,131747,24.6
AG02,11,J,21,14,G,0110,1,99,GS-14,15,0110,5,10,F,1,202209,1,159894,22.8
AG02,37,G,17,12,G,0110,1,99,GS-12,10,0110,8,15,F,1,202209,1,107385,21.3
AG02,11,J,13,13,I,0110,1,99,GS-13,13,0110,8,10,F,1,202209,1,138868,34.8
AG02,11,J,21,14,G,0110,1,99,GS-14,16,0110,5,10,F,1,202209,1,164102,21.4
AG02,13,I,21,13,A,0110,1,99,GS-13,12,0110,8,15,F,1,202209,1,129472,00.0
AG02,11,K,21,13,G,0110,1,99,GS-13,13,0110,8,10,F,1,202209,1,138868,22.8
AG02,11,J,17,13,J,0110,1,99,GS-13,13,0110,8,10,P,2,202209,1,138868,37.5
AG02,11,G,21,14,F,0110,1,99,GS-14,14,0110,5,10,F,1,202209,1,147272,16.8
AG02,11,K,21,14,H,0110,1,99,GS-14,16,0110,5,10,F,1,202209,1,164102,29.6
AG02,11,J,17,13,F,0110,1,99,GS-13,13,0110,8,10,F,1,202209,1,135308,18.8
AG02,11,F,17,14,F,0110,1,99,GS-14,14,0110,5,10,F,1,202209,1,143064,16.2
